Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,12.5,-,-,T,T,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,14.8,2.0,20.0,0.2,-,-,-
4,T,-,-,-,0.5,60.3,5.0,2.0,T,0.3,-,-
5,-,-,2.5,-,-,-,-,T,-,6.0,-,-
6,-,-,48.5,T,-,-,-,39.5,18.0,-,-,-
7,-,-,16.5,0.9,-,-,-,50.5,-,-,-,-
8,-,-,0.1,-,-,-,-,243.0,-,-,-,-
9,-,-,2.9,T,-,-,-,365.0,1.4,-,-,-
10,-,-,-,-,-,-,-,50.6,12.0,-,T,-
11,-,-,-,-,-,1.5,-,6.7,-,0.8,-,-
12,-,-,-,-,-,14.9,T,13.2,-,-,T,-
13,-,-,0.2,0.1,-,34.0,96.0,-,-,-,5.2,-
14,-,-,T,7.0,-,35.7,0.3,-,11.0,-,-,-
15,-,-,-,-,-,-,-,0.1,1.2,-,1.0,-
16,-,-,-,3.8,-,-,-,36.0,-,-,-,3.7
17,-,-,-,16.0,0.4,-,-,34.0,-,-,T,4.0
18,-,-,-,-,-,-,0.3,-,-,-,0.1,-
19,-,-,-,-,-,-,0.4,-,-,-,-,-
20,-,13.0,-,5.2,-,-,2.5,-,-,-,-,-
21,-,-,-,12.0,1.1,36.5,1.0,-,-,-,-,-
22,-,-,-,31.0,-,6.8,-,-,-,-,-,-
23,-,-,0.3,-,-,20.5,-,-,-,-,-,-
24,-,-,2.6,-,-,-,68.0,3.2,-,-,-,0.7
25,-,-,0.2,-,-,11.0,8.0,3.6,29.0,-,-,0.5
26,-,-,-,21.0,-,7.8,17.0,-,-,-,-,-
27,-,-,-,-,6.3,-,-,-,2.6,-,-,T
28,-,-,-,-,1.1,-,0.5,0.5,T,-,-,2.8
29,-,,11.1,-,-,-,-,1.5,57.5,-,-,T
30,-,,-,-,-,-,-,36.0,53.2,-,-,1.6
31,-,,-,,-,,-,41.8,,-,,4.9
總和值,T,13.0,84.9,97.0,9.4,256.3,201.0,947.2,186.1,7.1,6.3,18.2
1,-,-,-,-,-,-,-,8.0,23.2,-,-,-
2,1.2,-,-,0.4,-,-,-,1.0,T,-,-,-
3,3.0,-,-,0.1,-,4.5,-,10.0,1.5,1.2,-,-
4,-,-,-,-,-,-,-,0.4,12.5,-,7.1,-
5,-,-,-,-,-,-,-,12.5,1.0,-,1.6,-
6,0.3,-,-,5.5,-,-,0.5,0.5,1.1,T,-,-
7,0.1,0.1,-,0.8,T,-,-,-,9.5,-,-,-
8,10.0,T,-,5.8,0.5,-,-,T,4.0,-,-,-
9,-,-,1.2,T,0.7,-,-,-,40.5,-,-,-
10,-,-,-,-,-,2.3,-,-,2.0,-,-,-
11,0.1,-,-,-,-,34.4,-,-,-,-,-,-
12,-,1.8,T,-,-,16.7,15.5,3.5,5.7,-,1.4,-
13,-,0.1,5.2,-,-,63.2,52.0,-,-,-,29.3,-
14,-,-,-,-,-,21.8,3.5,1.0,-,-,0.7,-
15,-,1.4,-,12.5,T,2.5,T,4.1,-,-,0.8,4.3
16,-,7.2,T,T,-,-,-,20.0,-,-,-,28.0
17,-,12.5,-,T,-,-,8.5,4.3,37.9,-,-,-
18,-,4.6,-,0.2,-,-,-,0.7,T,-,-,-
19,-,25.0,-,-,-,-,-,0.7,88.0,-,-,-
20,-,0.5,-,-,0.6,-,0.5,-,15.5,-,-,-
21,-,-,-,-,-,0.2,31.0,-,6.5,2.7,-,-
22,-,0.3,-,-,-,-,4.0,-,-,11.9,-,-
23,-,-,-,16.5,52.5,5.6,1.0,30.3,-,T,-,-
24,-,-,-,T,-,54.0,17.5,1.0,0.4,-,-,-
25,4.8,0.3,0.5,-,-,37.8,5.0,43.0,-,-,-,-
26,T,-,-,-,-,1.2,66.0,0.8,-,-,-,0.4
27,-,-,-,T,-,13.6,165.5,-,-,-,-,-
28,-,-,-,9.1,5.0,12.0,84.0,40.5,-,-,-,-
29,-,,-,2.6,32.0,-,0.3,13.7,3.0,-,-,-
30,-,,-,15.5,12.0,-,4.5,12.5,-,-,-,-
31,-,,-,,0.5,,T,0.2,,-,,-
總和值,19.5,53.8,6.9,69.0,103.8,269.8,459.3,208.7,252.3,15.8,40.9,32.7
1,-,-,-,-,-,4.0,-,-,-,T,-,-
2,-,-,-,-,T,15.4,-,0.1,17.0,1.5,-,2.0
3,-,-,-,-,-,-,-,0.5,-,6.8,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-
5,1.5,-,-,-,-,-,-,-,-,-,-,5.7
6,-,-,0.2,-,-,-,-,T,-,-,-,0.2
7,-,-,32.3,-,-,-,-,-,-,-,7.8,-
8,-,T,-,-,-,-,-,-,-,-,27.9,-
