Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,5.6,1.0,-,-,-,-,1.8,6.1,8.0,-
2,-,-,9.2,-,-,-,13.0,T,17.5,2.2,-,-
3,0.7,15.1,9.2,-,0.7,-,1.0,3.9,77.0,13.0,6.1,-
4,7.9,13.0,0.3,-,12.1,179.0,3.5,22.0,18.1,144.0,0.5,-
5,41.9,17.5,9.6,5.2,-,9.0,-,3.8,-,153.5,-,0.4
6,160.5,13.5,34.3,T,-,-,-,79.0,4.2,20.0,-,-
7,32.5,22.2,61.0,12.5,-,-,-,32.3,-,-,-,T
8,4.5,9.3,29.5,5.6,-,-,-,27.0,T,1.3,-,-
9,5.1,2.5,34.9,-,-,-,-,20.3,3.5,2.6,-,-
10,-,-,-,1.6,-,-,-,3.5,2.9,24.5,0.4,-
11,-,-,1.6,-,-,6.1,-,0.7,0.5,59.0,5.5,2.3
12,-,-,-,-,-,2.4,0.3,0.8,-,49.1,15.8,20.1
13,-,-,14.5,9.1,0.2,151.3,9.6,-,9.8,18.7,32.9,10.5
14,-,-,5.0,1.3,-,2.3,-,-,-,23.0,1.5,23.5
15,-,3.0,-,-,-,37.2,-,-,-,2.5,2.8,3.5
16,-,28.0,-,27.9,-,0.5,-,-,-,6.5,6.5,37.0
17,2.2,41.0,-,9.3,0.5,T,2.4,-,-,-,53.0,39.1
18,-,13.8,-,0.5,20.2,-,4.6,-,-,-,66.3,4.5
19,1.8,0.2,-,T,1.1,-,-,-,14.5,-,57.5,2.7
20,11.3,25.6,-,14.9,-,-,-,-,-,T,48.4,0.5
21,-,-,-,5.5,23.9,0.6,-,-,-,-,52.5,-
22,-,-,3.1,28.5,-,-,-,-,-,3.0,31.8,-
23,20.0,-,9.4,-,-,0.4,-,7.7,14.9,61.0,42.3,-
24,-,-,36.5,-,0.5,1.9,1.5,-,-,19.8,4.5,-
25,12.2,1.5,-,27.0,-,1.7,8.5,-,1.5,-,24.0,1.8
26,56.5,8.9,-,1.0,9.5,0.1,18.5,-,3.0,-,0.5,2.0
27,47.5,7.7,2.5,-,5.9,1.1,1.0,-,30.6,-,1.2,30.7
28,23.0,16.4,9.0,-,-,9.5,1.2,-,169.5,-,17.0,20.4
29,10.0,,22.1,-,-,-,-,-,102.5,-,0.9,0.4
30,8.5,,T,-,-,-,-,-,0.5,T,-,3.5
31,-,,-,,-,,-,10.5,,1.6,,0.3
總和值,446.1,239.2,297.3,150.9,74.6,403.1,65.1,211.5,472.3,611.4,479.9,203.2
1,-,1.1,-,-,-,-,-,-,-,45.0,-,1.4
2,7.0,0.5,0.5,24.5,-,14.0,-,-,-,-,T,-
3,5.0,25.4,0.1,30.0,-,51.5,-,-,-,6.0,5.2,-
4,T,8.5,-,1.5,-,19.4,-,-,-,0.2,39.0,T
5,13.1,9.3,T,0.6,-,15.5,-,2.0,6.0,-,11.5,-
6,37.0,6.5,5.4,31.5,18.3,9.0,-,7.5,-,-,30.7,-
7,41.5,5.5,9.0,12.5,15.0,-,-,11.5,0.1,-,20.0,-
8,54.0,-,31.0,29.0,1.1,-,-,1.5,-,9.6,-,-
