Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,0.7,T,-,0.1,-,-,-,-,-,-,-
2,-,0.1,-,1.3,5.3,2.1,-,1.0,-,-,-,-
3,-,2.0,13.0,0.6,-,-,0.2,49.1,-,-,-,-
4,1.1,1.0,-,1.4,-,8.1,0.3,-,-,103.0,-,-
5,5.2,0.5,-,T,-,1.6,-,1.3,-,41.0,-,-
6,-,-,9.2,1.0,0.5,-,-,-,0.2,27.0,3.8,-
7,0.5,1.6,17.4,-,-,-,-,122.1,-,-,5.0,-
8,-,1.2,-,0.5,-,-,-,808.5,1.2,-,-,-
9,-,-,-,-,-,-,T,260.5,-,2.1,-,-
10,-,-,-,-,-,-,21.5,16.8,0.2,6.2,-,-
11,-,-,-,0.2,-,-,76.5,6.3,-,7.5,-,-
12,-,9.3,-,4.7,-,-,T,-,-,-,-,-
13,-,-,-,T,-,0.1,72.3,-,54.6,10.5,1.8,-
14,-,-,3.3,T,-,-,28.1,-,1.5,3.5,6.2,-
15,-,-,-,0.9,-,0.7,12.5,2.0,-,2.5,-,-
16,4.0,-,-,31.0,-,-,-,4.3,56.0,-,-,-
17,1.0,-,-,13.0,-,4.1,106.5,-,17.5,-,-,-
18,-,3.3,-,3.5,-,-,65.0,-,0.5,-,-,-
19,3.1,25.5,-,0.9,-,-,46.0,-,4.3,-,-,-
20,-,0.6,-,10.0,-,52.5,3.9,-,0.7,-,-,-
21,-,-,-,35.0,-,70.5,-,-,-,-,-,-
22,-,-,-,1.5,-,3.5,-,-,-,-,-,-
23,-,-,0.5,-,-,-,-,1.8,3.8,-,-,-
24,-,-,0.5,-,-,-,-,23.9,8.5,-,0.7,1.0
25,-,0.2,0.4,-,-,44.3,-,-,-,1.0,-,5.5
26,7.9,0.2,-,-,-,15.6,-,-,11.7,-,-,-
27,-,2.1,-,-,3.4,20.5,-,-,29.3,-,-,-
28,-,1.5,-,-,1.1,-,-,-,54.3,-,-,-
29,-,,0.5,-,-,-,-,-,6.8,-,-,-
30,3.4,,-,-,-,-,-,-,13.6,-,0.1,-
31,0.5,,-,,-,,-,-,,0.5,,-
總和值,26.7,49.8,44.8,105.5,10.4,223.6,432.8,1297.6,264.7,204.8,17.6,6.5
1,-,2.6,-,-,-,-,-,-,166.0,0.7,-,9.0
2,-,-,-,-,20.5,0.1,-,-,143.5,0.2,-,-
3,2.6,0.1,-,-,22.5,13.7,-,-,8.5,19.9,-,-
4,-,-,-,-,0.2,-,-,5.5,-,6.3,-,-
5,-,-,-,2.5,-,10.0,-,-,-,-,3.5,-
6,0.3,-,-,-,-,1.0,-,2.4,-,22.0,0.5,0.2
7,-,-,-,0.5,1.7,-,-,-,19.5,5.5,-,-
8,T,-,-,-,0.5,-,-,-,131.0,64.5,-,-
9,0.4,-,1.1,1.8,-,0.1,-,-,148.5,0.1,-,-
10,-,-,T,-,2.5,-,-,-,16.0,-,-,-
11,1.5,-,-,-,T,15.1,-,-,-,-,-,-
12,-,0.1,1.7,-,-,10.3,33.0,-,-,17.6,-,-
13,-,-,-,-,-,16.5,0.1,1.3,-,1.6,25.3,-
14,-,-,-,-,-,1.0,11.0,-,30.5,15.5,5.9,-
15,-,-,-,3.7,-,-,21.0,-,-,-,1.5,-
16,0.4,1.5,0.5,0.9,5.0,-,-,-,-,19.0,-,4.1
17,5.1,0.5,-,-,0.1,-,-,18.0,-,62.0,-,-
18,3.4,3.0,-,0.1,-,-,-,0.1,-,12.0,-,-
19,1.2,1.8,7.2,72.1,-,-,-,2.0,274.5,9.5,1.8,-
20,-,0.7,-,-,-,-,12.7,-,86.6,6.1,0.2,-
21,4.0,-,T,-,-,-,3.5,5.2,0.2,99.5,T,-
22,1.5,-,-,-,-,-,14.5,28.5,-,91.0,3.1,-
23,-,-,-,13.0,100.6,-,-,18.6,-,0.5,-,-
24,-,-,-,0.5,60.3,1.0,21.5,12.5,-,-,-,-
25,7.1,1.0,7.0,-,6.4,10.5,37.9,13.0,0.2,-,-,-
26,-,-,-,-,12.5,-,49.5,0.5,-,-,-,-
27,T,-,-,-,2.0,1.6,22.8,-,7.0,-,-,-
28,0.6,-,-,7.7,6.0,2.2,1.0,-,2.5,2.5,-,-
29,-,,-,3.5,9.5,-,-,19.7,2.7,-,-,-
30,-,,-,4.0,104.0,-,4.5,-,-,-,-,-
