Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,1.0,T,0.5,-,-,-,6.7,0.5,4.6,-
2,-,-,T,T,0.5,T,-,24.1,32.5,1.8,0.3,-
3,0.5,-,1.0,-,-,-,0.5,1.1,6.3,8.1,5.5,0.3
4,5.5,10.5,T,-,4.5,38.0,11.0,0.6,13.4,148.0,2.2,-
5,71.5,17.0,2.5,T,-,2.2,-,0.5,0.8,199.0,-,-
6,21.0,10.0,34.5,-,-,-,-,25.4,-,28.7,-,-
7,0.5,36.5,27.0,7.0,-,-,-,35.1,-,1.1,-,11.9
8,0.5,22.0,8.5,-,-,-,-,11.4,-,3.3,-,T
9,-,-,10.0,-,-,-,-,7.2,0.2,25.8,-,-
10,-,-,-,-,-,-,-,0.5,113.0,95.7,-,-
11,-,-,T,T,-,56.6,-,0.2,-,69.5,2.0,32.1
12,-,T,0.5,-,-,10.8,0.5,-,-,74.3,16.5,32.7
13,-,-,12.0,11.2,-,36.5,30.8,-,59.5,40.0,9.0,T
14,-,-,T,3.5,T,5.9,-,-,0.5,22.1,-,39.1
15,T,T,-,-,-,35.3,-,-,0.1,16.9,T,3.8
16,-,T,-,7.0,-,0.3,-,-,-,12.0,-,8.5
17,0.5,19.5,-,9.0,0.5,-,6.2,-,-,-,4.4,17.4
18,-,5.5,-,T,12.3,-,2.1,-,-,-,46.0,2.0
19,-,-,-,T,T,11.0,-,-,0.1,-,15.4,T
20,17.0,3.0,0.6,8.6,-,-,-,-,-,-,T,-
21,1.0,T,-,7.5,10.5,4.6,-,-,-,-,3.9,-
22,-,-,0.4,18.0,-,-,-,-,4.5,26.1,5.0,-
23,2.5,-,4.2,1.0,-,0.5,-,-,31.1,181.1,85.0,-
24,0.5,-,11.8,-,0.5,-,0.5,-,15.4,18.6,0.3,-
25,1.0,4.5,-,T,3.5,8.5,13.7,-,0.1,T,18.9,T
26,3.0,5.5,-,8.0,2.0,0.5,0.7,-,2.1,-,9.3,1.6
27,3.0,T,-,-,6.5,5.4,-,-,50.1,-,T,0.4
28,1.5,3.0,-,-,-,-,-,-,153.9,T,1.3,9.5
29,-,,18.5,-,-,-,-,-,114.2,T,0.1,-
30,-,,-,0.5,-,-,-,-,21.8,15.7,-,1.7
31,-,,-,,-,,-,12.9,,0.5,,1.7
總和值,129.5,137.0,132.5,81.3,41.3,216.1,66.0,119.0,626.3,988.8,229.7,162.7
