Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,2.0,-,-,1.0,2.0,-,-
2,-,-,-,-,-,1.5,-,-,24.0,-,-,-
3,-,-,-,-,-,7.0,1.0,-,1.0,-,-,-
4,-,-,-,-,-,20.0,-,8.5,15.5,2.5,-,-
5,-,-,-,-,-,1.0,-,1.0,11.0,27.5,-,-
6,-,-,7.0,-,-,-,21.5,4.5,2.0,-,-,-
7,-,-,23.0,-,-,-,10.0,191.5,-,-,-,-
8,-,-,-,-,-,-,-,659.5,-,0.5,-,-
9,-,-,-,-,-,-,-,100.5,2.5,-,-,-
10,-,-,-,-,-,-,1.0,59.0,20.0,-,-,-
11,-,-,-,-,-,13.5,5.0,43.0,1.0,-,-,-
12,-,-,-,-,-,64.0,40.5,81.0,-,-,-,-
13,-,-,-,-,-,52.0,88.5,-,1.5,-,-,-
14,-,-,-,-,-,24.0,2.0,-,-,-,0.5,-
15,-,-,-,0.5,-,-,38.0,-,-,-,-,-
16,-,-,-,10.0,-,3.0,13.0,6.5,2.5,-,-,-
17,-,-,-,8.5,-,-,3.5,2.0,-,-,-,-
18,-,-,-,-,-,122.5,29.0,17.5,14.5,-,-,-
19,-,-,-,-,-,7.5,-,-,-,-,-,-
20,-,-,-,6.0,-,3.0,-,-,-,-,-,-
21,-,-,-,18.5,-,51.0,-,-,32.0,-,-,-
22,-,-,-,5.5,-,6.0,-,-,0.5,-,-,-
23,-,-,2.0,-,-,9.5,1.0,-,-,-,-,-
24,-,-,-,-,14.5,-,13.5,7.5,1.5,-,-,2.5
25,-,-,-,-,-,-,42.5,2.0,-,-,-,1.0
26,-,-,-,3.5,-,-,-,3.0,2.0,-,-,-
27,-,-,-,-,5.0,-,-,5.5,6.0,-,-,-
28,-,-,-,-,3.5,-,-,2.0,4.5,-,-,-
29,-,,-,-,-,-,-,12.5,4.5,-,-,-
30,-,,-,0.5,-,-,-,57.5,83.5,-,-,-
31,-,,-,,1.0,,-,7.0,,-,,-
總和值,-,-,32.0,53.0,24.0,387.5,310.0,1271.5,231.0,32.5,0.5,3.5
1,-,-,-,-,-,0.5,-,14.0,116.5,-,-,-
2,-,-,-,-,-,-,-,2.0,14.0,4.0,-,-
3,4.5,-,-,-,-,12.5,-,4.0,-,1.5,-,0.5
4,-,-,-,-,-,0.5,-,-,8.0,21.5,-,-
5,-,-,-,-,-,-,-,2.5,82.0,-,1.0,-
6,-,-,-,-,-,-,-,14.5,1.5,8.0,-,-
7,-,-,-,0.5,-,-,-,-,3.0,8.5,-,-
8,-,-,-,-,-,-,-,5.5,9.0,8.0,-,-
9,-,-,1.0,-,-,-,-,-,106.5,-,-,-
10,-,-,-,-,-,3.0,-,9.0,28.5,-,-,-
11,-,-,-,-,-,95.5,-,-,-,-,-,-
12,-,1.5,-,-,-,20.0,-,5.0,5.0,3.5,-,-
13,-,-,-,-,-,94.0,0.5,-,7.5,20.5,11.5,-
