Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,3.3,-,-,-,-,-,-,-,-,-
2,-,-,1.9,-,0.4,-,7.5,-,-,-,-,-
3,-,-,0.7,0.1,14.0,4.0,29.0,6.0,5.5,3.5,0.5,-
4,5.3,9.2,0.5,-,1.8,87.5,-,4.5,-,14.5,4.0,-
5,0.5,T,15.0,6.0,-,T,-,0.2,9.0,25.0,8.5,-
6,21.1,3.9,9.0,T,-,-,-,31.1,-,0.1,3.0,-
7,17.6,14.8,29.8,28.0,-,-,-,7.0,-,-,-,-
8,0.1,0.3,17.3,T,-,-,-,260.5,-,-,-,-
9,-,-,22.8,-,-,-,-,40.0,-,-,-,0.4
10,-,-,-,-,-,-,-,1.5,-,1.4,4.2,-
11,-,-,10.6,0.2,-,1.4,-,-,-,2.0,-,-
12,-,-,-,-,-,-,1.5,1.0,-,11.0,3.7,11.3
13,-,-,1.3,1.2,-,11.4,1.8,-,23.9,0.6,22.5,1.0
14,-,-,3.2,16.0,-,21.8,-,-,0.4,0.7,-,0.5
15,-,4.0,-,-,-,8.1,-,-,-,T,15.9,0.5
16,0.4,3.6,-,16.7,-,-,-,-,-,0.5,1.2,6.1
17,0.4,4.5,-,91.0,-,-,0.3,-,-,-,5.6,10.5
18,-,9.6,-,-,3.5,0.2,1.7,-,-,-,5.5,-
19,-,6.9,-,2.6,13.1,-,-,-,0.7,-,5.6,-
20,5.0,9.4,-,9.4,-,-,-,-,-,-,8.8,-
21,-,-,-,-,-,0.1,-,-,-,-,1.5,-
22,-,-,0.2,3.3,-,-,-,-,-,1.5,1.0,-
23,2.4,-,6.0,0.2,-,0.5,-,1.0,-,33.7,6.0,-
24,-,-,6.6,-,0.1,0.2,-,-,1.5,6.1,0.2,-
25,0.2,-,-,1.3,-,-,-,-,7.0,-,4.0,3.0
26,5.4,3.0,-,-,4.9,-,-,-,-,-,-,-
27,2.2,0.4,5.5,-,-,-,-,-,0.5,-,-,17.7
28,0.7,9.8,1.2,-,-,-,-,-,24.5,-,0.2,4.0
29,0.5,,4.0,-,-,-,-,3.5,35.0,-,-,0.5
30,16.0,,-,-,-,-,-,3.0,7.5,-,-,2.1
31,-,,-,,-,,-,5.0,,-,,-
總和值,77.8,79.4,138.9,176.0,37.8,135.2,41.8,364.3,115.5,100.6,101.9,57.6
1,2.3,-,-,-,-,-,-,-,4.3,1.5,-,T
2,4.6,-,0.5,2.2,-,2.5,-,-,-,0.4,-,-
3,2.8,4.8,-,31.3,-,49.1,-,-,0.4,4.4,-,-
4,-,6.9,-,13.0,-,5.2,-,-,25.6,-,1.1,-
5,0.2,3.8,-,-,-,2.1,-,-,2.8,T,74.6,-
6,12.0,8.1,-,66.5,5.1,0.2,-,4.0,-,-,63.2,-
7,8.5,0.7,0.7,1.5,32.6,-,-,10.0,-,-,7.3,-
8,12.0,-,35.9,35.3,2.0,-,-,-,0.7,0.1,-,-
9,-,0.1,24.9,-,0.2,2.0,-,41.5,3.9,-,-,-
10,-,-,-,-,3.9,20.5,-,-,-,2.5,-,-
11,3.7,-,-,0.2,0.8,1.6,-,-,-,-,-,-
12,3.5,2.1,-,0.8,-,6.5,-,-,-,-,-,0.2
13,-,7.2,13.0,14.5,-,42.2,-,-,-,1.7,29.5,-
14,-,0.3,10.0,4.0,0.4,16.0,-,-,-,22.5,43.5,0.7
15,-,9.4,-,7.0,-,4.5,-,-,-,-,-,20.0
16,-,14.2,2.5,0.6,-,10.5,-,-,-,0.5,3.5,36.5
17,-,29.4,0.4,0.1,-,3.7,-,-,-,-,0.3,-
18,0.1,14.6,-,68.4,-,-,-,-,1.0,-,0.5,-
