Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,-,-,-
2,-,0.2,-,-,-,4.0,-,41.5,-,1.0,-,-
3,-,-,-,-,-,0.5,49.5,41.0,-,1.5,-,-
4,-,-,-,0.2,-,12.5,9.0,-,-,49.0,-,-
5,1.5,-,-,-,-,14.0,1.0,3.0,-,81.0,-,-
6,-,-,-,-,-,-,-,2.5,-,34.5,0.5,-
7,-,0.5,12.3,-,-,-,2.0,294.0,1.0,-,0.5,-
8,-,-,-,-,-,-,-,406.5,-,-,-,-
9,-,-,-,-,-,-,-,26.5,-,1.0,-,-
10,-,-,-,-,-,0.5,24.0,3.0,-,-,-,-
11,-,-,-,-,-,3.4,14.2,34.5,2.0,12.5,-,-
12,0.5,1.5,-,0.2,-,19.5,1.0,13.0,13.0,-,-,-
13,-,-,-,-,-,1.5,25.0,-,40.0,0.5,T,-
14,-,-,-,-,-,1.0,2.0,0.5,2.4,-,2.0,-
15,-,-,-,0.2,-,1.5,2.5,3.0,4.5,-,-,-
16,1.5,-,-,24.0,-,1.5,5.2,30.5,0.2,-,-,-
17,2.0,-,-,8.0,-,2.2,59.0,-,10.5,-,-,-
18,-,4.9,-,-,-,0.5,18.5,-,-,-,-,-
19,-,2.5,-,-,-,1.0,44.0,-,0.5,-,-,-
20,-,-,-,0.2,-,13.0,0.5,-,5.0,-,-,-
21,-,-,-,4.5,0.5,6.8,-,-,-,-,-,-
22,-,-,-,-,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,-,11.5,1.5,-,-,0.5
24,-,-,1.5,-,-,-,34.2,-,30.5,-,-,-
25,-,-,-,1.5,-,2.0,3.5,9.2,-,-,-,4.0
26,0.5,0.3,-,-,-,0.5,3.5,-,9.0,-,-,-
27,0.5,-,-,-,-,1.5,-,7.0,23.0,-,-,-
28,22.5,-,-,-,1.5,-,-,-,34.5,-,-,-
29,0.5,,-,-,-,-,-,-,46.0,-,-,-
30,-,,-,-,-,-,-,-,35.0,-,-,-
31,-,,-,,-,,-,-,,-,,-
總和值,29.5,9.9,13.8,38.8,2.0,87.4,298.6,927.2,258.6,181.0,3.0,4.5
1,-,-,-,-,-,-,-,-,83.5,2.0,-,-
2,-,-,-,-,-,-,-,-,96.5,1.5,-,0.5
3,-,-,-,-,-,4.6,-,-,36.5,18.5,-,-
4,-,-,-,-,-,-,-,2.0,3.0,-,0.2,-
5,-,-,-,-,-,23.0,0.2,-,6.0,-,1.7,-
6,-,-,-,-,-,0.2,-,4.5,55.0,49.0,-,-
7,-,-,-,-,-,-,-,2.5,123.5,0.5,-,-
8,T,-,-,-,-,-,-,5.5,74.5,12.5,-,-
9,-,-,-,-,4.7,-,-,2.7,120.0,-,-,-
10,1.0,-,0.6,-,0.5,T,-,6.2,6.0,-,-,-
11,-,-,-,-,-,46.5,-,3.0,-,-,-,-
12,-,-,-,-,-,64.0,0.5,-,-,18.5,0.5,-
13,-,-,-,-,-,16.5,5.5,2.5,6.5,1.5,3.0,-
14,-,-,-,-,-,1.0,22.0,-,51.5,-,-,-
15,-,-,-,-,-,6.5,8.5,20.0,-,5.0,-,-
16,-,-,-,-,-,-,-,-,-,21.0,-,-
17,1.0,-,-,-,-,-,-,2.5,-,22.0,-,0.7
18,1.0,0.2,-,-,-,-,-,3.5,-,3.2,-,-
19,0.2,-,3.5,-,-,-,0.5,-,150.5,4.5,-,-
20,-,-,-,1.0,-,-,-,4.5,14.5,8.0,-,-
21,-,-,-,-,-,-,22.0,7.5,1.5,145.5,-,-
22,-,-,-,-,-,-,43.0,35.0,0.3,100.0,-,-
23,-,-,-,2.5,21.0,3.0,0.5,35.0,-,-,-,-
24,-,-,-,-,56.0,19.0,3.0,34.2,4.5,-,-,-
25,6.1,-,-,-,8.0,0.5,11.0,13.7,4.5,-,-,-
26,-,-,-,-,1.0,-,84.0,5.5,-,-,-,-
27,-,-,-,-,0.5,3.0,59.5,-,-,-,-,-
28,10.0,-,-,10.5,43.0,9.0,23.5,-,-,0.2,-,-
29,-,,-,-,52.5,-,4.0,41.0,5.5,-,-,-
30,-,,-,5.5,65.5,-,94.0,31.0,3.8,-,-,-
31,-,,-,,1.0,,-,16.0,,-,,-
總和值,19.3,0.2,4.1,19.5,253.7,196.8,381.7,278.3,847.6,413.4,5.4,1.2
1,-,-,-,-,-,66.0,-,-,17.5,10.0,-,10.0
2,-,1.0,-,-,-,-,-,-,-,89.5,1.0,-
3,-,-,-,-,-,-,-,37.0,10.5,-,-,0.5
4,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,0.5,-,-,-
6,1.5,-,-,-,-,-,-,-,-,-,-,-
7,-,-,3.0,-,-,-,-,4.0,-,-,21.4,-
8,-,-,-,-,4.5,-,-,1.0,-,-,3.5,-
9,-,-,-,-,2.5,-,0.5,1.5,-,26.2,1.0,-
10,-,-,-,-,3.0,0.2,87.0,0.7,-,2.0,13.0,0.1
11,4.0,-,-,-,-,-,87.5,-,6.5,13.5,5.5,0.2
12,1.5,-,-,-,-,-,9.0,-,-,-,-,13.5
13,-,-,-,-,1.5,-,47.5,-,3.0,3.0,2.0,1.3
14,-,1.5,-,-,-,-,94.0,-,2.0,36.5,-,-
15,-,-,-,-,-,0.2,4.5,-,16.5,2.0,2.0,-
16,-,-,-,-,-,-,23.7,-,-,-,24.5,-
17,-,-,-,-,20.9,0.5,24.5,-,-,-,46.8,-
18,-,-,-,40.3,0.5,-,23.5,-,-,-,3.5,-
19,-,-,-,-,11.0,-,16.0,-,0.2,-,-,-
20,1.4,-,-,-,71.0,58.5,0.8,-,-,-,-,3.5
21,-,-,-,-,2.0,56.0,T,0.5,-,-,-,0.8
22,-,-,-,-,-,8.5,-,-,-,-,-,-
23,-,-,-,-,-,-,-,5.0,-,-,0.1,-
24,-,-,-,-,-,-,-,1.0,-,7.5,-,-
25,-,10.0,-,-,-,23.5,-,-,-,-,-,-
26,-,6.0,-,-,0.5,25.5,0.5,0.5,-,-,-,-
27,-,-,0.5,-,3.0,76.5,8.5,41.0,4.7,-,1.5,-
28,4.0,-,1.5,-,-,16.0,12.7,340.0,38.0,-,-,-
29,-,,-,-,-,8.0,3.0,271.5,1.5,-,-,-
30,-,,-,-,-,-,-,339.5,1.0,-,8.3,-
31,-,,-,,7.0,,-,111.5,,-,,-
總和值,12.4,18.5,5.0,40.3,127.4,339.4,443.2,1154.7,101.9,190.2,134.1,29.9
1,-,-,-,-,-,-,-,1.3,0.5,-,2.5,T
2,-,-,-,-,7.5,0.5,-,9.0,3.0,-,-,-
3,-,-,-,5.5,58.5,26.0,-,-,-,-,-,0.2
4,-,-,-,-,32.0,-,16.5,3.4,-,-,2.5,-
5,-,26.5,-,-,-,T,12.5,4.8,-,-,-,9.0
6,-,0.5,-,0.2,-,84.0,7.5,-,T,1.0,-,-
7,-,-,-,-,-,1.5,0.5,18.5,9.5,-,-,T
8,-,-,-,-,-,18.3,-,0.5,0.5,-,-,-
9,-,-,-,-,-,7.5,-,85.5,-,-,-,-
10,-,-,-,-,0.5,143.5,-,71.0,-,-,-,-
11,-,1.5,-,-,1.0,-,-,25.5,3.0,-,-,-
12,-,0.5,1.0,-,-,33.0,-,18.0,-,-,-,-
13,-,0.3,-,-,-,145.0,1.0,-,-,2.0,-,4.0
14,-,0.5,-,-,-,42.5,3.0,T,-,-,-,2.0
15,-,4.5,0.5,-,-,91.0,7.0,19.8,4.5,-,-,-
16,-,-,-,-,22.0,16.0,8.0,31.5,-,-,-,-
17,-,-,-,19.0,184.5,1.0,-,3.0,-,-,31.5,-
18,-,-,-,1.5,-,4.0,-,6.5,0.4,-,-,-
19,-,T,1.0,0.5,31.5,29.0,-,-,-,-,T,-
20,-,19.5,-,-,105.0,65.0,5.5,-,-,-,-,-
21,-,21.0,-,7.5,-,53.0,83.0,3.5,-,-,-,-
22,-,1.0,0.5,-,-,2.5,23.0,-,-,-,-,-
23,-,-,-,-,-,0.5,69.5,5.0,44.5,-,-,-
24,-,-,-,-,-,-,29.5,615.0,2.5,-,-,-
25,-,-,-,-,-,-,28.5,57.5,-,-,-,-
26,-,-,-,0.5,-,-,-,1.5,-,-,-,1.5
27,-,-,-,T,2.5,-,20.5,43.0,-,-,-,5.0
28,-,1.0,-,5.0,4.0,25.5,3.5,53.0,-,-,-,0.5
29,-,1.0,-,-,-,T,10.0,3.0,1.5,6.5,-,-
30,-,,-,-,-,3.5,0.5,-,-,0.5,-,3.0
31,-,,-,,-,,23.5,5.0,,1.5,,-
總和值,-,76.8,3.0,39.7,449.0,802.8,346.0,1083.3,74.9,5.0,36.5,25.2
1,-,0.5,-,-,78.0,-,4.0,36.0,4.0,2.0,4.5,-
2,-,2.5,0.5,-,0.5,-,0.5,24.5,-,1.5,42.5,-
3,-,6.5,-,-,0.5,-,-,-,-,T,2.5,-
4,-,-,-,-,-,-,T,-,-,-,-,-
5,-,-,-,-,0.5,-,1.0,-,-,-,-,-
