Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.5,-,-,-,3.0,-,-,-,-,-,-,T
2,-,-,-,0.3,3.0,-,-,3.0,0.7,-,0.2,-
3,T,5.0,2.7,0.8,-,1.0,-,0.5,T,T,-,2.0
4,5.2,-,-,-,0.3,22.0,T,-,-,52.0,-,-
5,6.5,0.5,-,2.0,0.1,6.0,0.4,3.0,-,79.5,-,T
6,0.5,1.0,15.8,-,-,-,0.1,0.4,-,61.5,-,-
7,3.0,5.9,21.5,-,-,-,-,101.5,-,-,3.5,-
8,-,10.0,0.6,7.0,-,-,-,53.5,8.0,-,2.0,-
9,1.5,-,4.4,T,-,-,0.9,16.0,5.5,2.1,-,T
10,0.9,-,-,-,-,-,12.5,0.5,-,121.6,-,-
11,-,-,-,-,-,-,4.5,-,-,7.0,T,-
12,2.2,1.1,2.0,-,-,T,-,-,-,-,0.2,-
13,-,-,3.5,-,-,16.3,196.5,-,42.6,13.0,11.0,-
14,-,-,19.5,1.2,-,6.5,60.5,-,0.5,-,-,-
15,0.3,T,-,0.5,-,-,0.5,0.1,-,4.0,-,-
16,7.8,-,-,14.5,-,-,1.0,-,3.0,-,-,16.5
17,0.8,-,-,6.5,-,-,79.2,-,-,-,7.3,2.3
18,-,34.0,-,1.0,0.3,-,21.8,-,-,-,-,-
19,-,19.0,-,4.5,-,-,6.7,-,-,-,-,T
20,-,7.0,-,-,-,5.3,0.7,-,-,-,-,-
21,3.0,-,7.1,8.0,12.0,29.6,-,-,-,-,-,-
22,-,0.9,-,5.2,-,-,-,-,2.5,-,2.1,-
23,0.5,-,0.5,-,-,-,-,-,16.0,10.5,T,-
24,0.5,-,4.0,-,-,-,-,0.5,10.0,-,1.5,-
25,-,2.0,0.5,0.8,-,25.0,-,-,-,-,-,4.5
26,0.6,19.5,-,0.5,0.2,4.0,-,-,42.0,-,2.5,-
27,-,0.5,1.7,-,10.8,-,-,-,146.5,-,0.2,-
28,-,-,1.5,-,0.1,-,-,-,64.5,-,0.5,T
29,1.0,,4.9,-,-,-,-,-,39.5,-,0.3,-
30,15.0,,-,-,-,-,-,3.5,6.5,-,-,5.0
31,0.5,,T,,-,,-,-,,-,,0.5
總和值,50.3,106.4,90.2,52.8,29.8,115.7,385.3,182.5,387.8,351.2,31.3,30.8
1,-,1.0,-,1.0,T,-,-,-,101.3,3.1,-,-
2,2.0,-,-,3.5,23.0,0.6,-,-,52.5,-,0.3,1.0
3,8.2,0.4,-,-,37.5,20.5,-,-,3.5,2.1,0.6,0.7
4,-,-,-,-,5.2,1.2,-,1.2,-,16.0,4.8,-
5,-,0.1,-,1.3,2.5,5.0,-,2.0,-,-,0.3,-
6,-,-,-,1.3,-,-,-,1.1,-,23.0,1.4,1.3
7,-,28.5,-,3.5,-,0.9,-,7.0,21.5,13.5,0.6,1.9
8,-,27.0,-,0.2,0.5,0.1,-,-,70.5,8.5,0.1,-
9,-,-,8.0,2.6,1.5,1.8,-,-,129.0,1.0,-,-
10,7.6,-,0.5,-,-,8.0,-,-,14.2,-,-,-
11,1.0,-,-,-,T,5.0,-,-,16.0,-,-,0.3
12,16.6,-,0.2,-,T,14.5,-,-,-,0.4,1.6,T
13,-,-,1.5,-,0.2,4.0,-,-,-,1.4,56.9,2.3
14,-,-,-,-,2.9,0.2,0.7,-,9.0,4.5,-,0.3
15,-,0.5,5.2,6.2,-,-,11.0,3.0,-,0.8,1.8,-
16,0.8,1.0,-,-,58.5,-,T,-,0.7,90.0,-,5.9
17,3.5,0.8,-,-,6.0,-,2.0,1.0,-,22.5,-,-
18,1.5,0.5,-,2.5,-,-,-,2.5,-,49.0,-,-
19,10.5,9.8,4.0,2.6,-,-,-,-,173.5,31.5,3.5,0.1
20,-,-,0.8,3.4,-,-,-,-,93.5,0.8,0.1,1.9
21,16.5,-,T,-,-,-,39.5,-,0.2,48.0,-,-
22,0.1,-,0.1,-,-,-,T,1.5,T,91.0,4.4,-
23,-,-,7.5,2.5,6.5,1.5,-,27.0,-,9.9,0.3,-
24,-,T,1.5,-,15.7,5.0,36.0,T,13.5,-,-,-
25,27.3,-,25.0,-,-,T,93.2,2.2,2.5,2.4,3.0,-
26,0.7,-,-,-,-,-,29.6,-,-,0.8,-,6.3
27,1.5,-,-,0.7,0.1,5.4,0.2,-,-,0.5,-,-
28,6.1,1.8,3.5,-,-,0.1,-,0.4,-,5.5,-,-
29,0.5,,-,10.0,19.0,-,-,1.3,-,1.9,-,-
30,-,,0.5,0.6,19.0,-,-,-,-,-,-,0.2
31,-,,-,,0.5,,-,-,,-,,0.2
總和值,104.4,71.4,58.3,41.9,198.6,73.8,212.2,50.2,701.4,428.1,79.7,22.4
1,-,-,T,2.1,-,62.2,-,-,-,23.0,1.0,4.0
2,-,-,T,0.3,-,-,-,-,5.0,309.5,T,0.3
3,-,5.9,T,1.7,0.4,-,0.3,-,7.4,130.9,-,1.4
4,0.3,-,T,5.3,-,-,-,-,-,-,-,-
5,T,-,0.1,-,-,-,-,-,-,9.6,-,9.0
6,9.0,-,0.2,-,1.6,-,-,-,-,-,-,2.5
7,T,-,10.0,-,2.0,-,-,-,-,6.1,14.1,13.0
8,T,-,-,2.5,19.5,-,-,-,-,28.0,47.0,4.6
9,2.5,0.1,-,8.2,19.8,2.6,-,0.1,-,22.5,62.5,-
10,-,-,6.0,-,23.0,2.0,0.3,5.5,-,14.7,24.3,0.7
11,1.8,0.2,-,4.2,-,6.0,65.3,-,T,T,10.5,0.3
12,3.8,0.2,0.2,T,1.2,-,1.8,-,-,-,6.0,4.9
13,0.2,0.3,-,-,23.1,-,19.8,-,19.8,-,4.5,2.7
14,0.6,11.5,-,0.3,0.2,-,10.5,-,21.2,25.0,0.5,2.4
15,13.1,0.1,1.7,10.2,-,-,3.0,-,5.5,4.0,40.5,-
16,1.0,0.2,6.8,-,4.0,-,-,-,-,0.4,102.0,0.8
17,-,0.1,-,3.7,53.0,-,2.5,-,-,-,339.0,0.1
18,0.2,T,-,11.8,3.0,-,1.0,-,-,-,20.5,-
19,-,0.3,-,1.1,-,-,1.2,-,0.8,-,0.4,-
20,2.0,1.0,1.4,-,0.1,48.9,0.2,-,1.4,-,4.4,6.8
21,6.8,0.2,0.1,-,-,79.5,-,0.3,-,-,-,1.1
22,-,-,5.7,-,27.9,18.5,-,0.2,-,-,-,0.3
23,-,-,-,3.6,0.2,-,-,-,-,-,0.7,-
24,-,-,1.0,-,8.7,3.7,-,-,-,-,-,1.0
25,-,5.1,-,-,0.5,0.5,-,-,4.9,6.5,-,-
26,-,-,-,0.1,10.6,-,8.4,5.3,-,-,1.1,2.8
