Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,0.5,T,-,-,-,-,-,2.0,1.3,-
2,-,-,1.2,-,-,0.5,11.6,-,8.6,2.0,-,-
3,-,-,1.2,-,T,-,1.2,3.0,2.5,1.0,T,2.1
4,-,-,T,-,1.2,136.0,-,5.0,2.6,3.5,-,-
5,2.5,3.5,16.6,2.2,-,8.0,-,1.0,-,90.5,-,-
6,14.7,T,30.5,0.5,-,-,5.0,42.0,-,10.2,-,-
7,5.7,2.5,27.0,12.5,-,-,-,31.0,-,10.5,-,-
8,1.5,T,18.6,0.5,-,-,-,21.0,-,0.2,-,-
9,0.2,-,25.1,-,-,-,-,29.5,-,-,-,-
10,-,-,-,0.1,-,-,-,4.5,-,1.0,2.0,-
11,-,-,1.1,-,-,1.5,-,-,-,0.3,-,0.5
12,-,-,0.5,-,-,0.2,-,169.5,-,2.0,4.6,8.2
13,-,-,3.6,6.4,-,31.5,T,61.5,8.0,T,40.8,-
14,-,-,3.0,1.5,-,5.5,7.5,-,1.1,0.6,-,1.8
15,-,-,-,-,-,53.0,-,9.0,6.6,-,0.5,0.2
16,-,-,-,5.5,-,24.0,-,2.7,-,-,2.5,8.1
17,-,T,-,11.4,-,-,-,T,-,-,24.0,17.5
18,-,0.3,-,0.1,-,1.7,-,0.2,-,-,7.0,3.7
19,-,-,-,T,0.2,0.2,T,-,0.6,-,1.5,1.8
20,T,25.0,-,15.3,-,-,2.5,-,-,-,4.5,0.5
21,-,-,-,14.0,0.4,0.2,-,-,-,T,1.5,-
22,0.1,-,0.8,7.7,-,0.1,-,2.0,-,14.0,1.0,-
23,8.2,-,3.0,-,-,0.1,-,-,-,58.5,1.4,-
24,-,-,16.7,-,-,-,-,-,-,8.5,T,-
25,-,T,-,11.0,-,4.0,5.0,-,-,0.3,-,0.5
26,1.0,0.5,-,5.5,4.5,22.5,0.2,T,-,-,-,-
27,T,-,0.6,-,20.0,33.1,-,-,4.6,-,-,13.4
28,0.2,1.1,11.3,-,T,0.5,5.5,-,33.5,-,T,15.0
29,-,,22.8,-,-,-,0.2,-,46.0,-,-,1.5
30,6.3,,0.2,-,-,-,-,-,2.5,-,-,5.0
31,-,,0.5,,-,,-,-,,-,,0.6
總和值,40.4,32.9,184.8,94.2,26.3,322.6,38.7,381.9,116.6,205.1,92.6,80.4
1,-,-,-,-,-,-,-,T,T,1.5,-,-
2,9.5,-,2.0,5.5,-,11.5,-,-,5.0,-,-,-
3,8.5,1.6,-,2.5,-,34.5,-,-,-,1.0,-,T
4,-,1.6,-,1.0,-,6.0,-,-,T,-,0.5,-
5,0.7,0.2,-,4.5,0.1,7.0,-,-,0.4,-,4.0,-
6,5.6,8.1,T,23.9,16.0,0.6,-,0.5,-,-,11.5,-
7,20.5,8.0,T,8.5,9.0,-,-,14.2,0.5,-,3.0,0.5
8,26.0,-,3.3,30.5,-,-,-,3.0,-,14.5,-,-
9,-,-,29.0,0.5,1.6,0.8,-,2.0,1.0,T,-,-
10,0.5,-,-,-,18.7,47.0,-,-,1.2,0.5,-,-
11,7.0,-,-,-,5.7,16.0,-,-,28.5,T,-,0.5
12,11.0,0.6,-,-,0.7,10.0,45.0,7.0,2.0,-,0.1,-
13,-,24.5,25.5,1.0,1.0,44.0,1.5,-,-,-,8.1,-
14,-,T,-,0.1,T,20.0,T,10.0,12.5,0.5,0.6,3.5
15,-,15.5,0.1,7.8,T,3.0,5.5,27.0,-,-,2.5,19.0
16,-,43.8,-,1.0,-,0.2,-,99.5,-,0.5,5.1,41.0
17,-,54.0,-,-,-,3.5,-,-,-,-,T,-
18,-,36.0,-,6.5,-,-,-,-,13.4,14.5,T,-
19,-,53.5,-,-,-,-,-,-,66.5,27.5,15.9,-
20,-,2.0,-,1.0,0.5,-,6.5,-,24.0,74.5,2.5,-
21,T,-,-,-,-,75.5,-,-,-,129.5,-,-
22,6.5,0.3,-,0.6,-,4.0,-,-,-,25.0,1.5,-
23,2.1,-,-,14.0,43.5,5.0,19.5,-,T,-,3.5,-
24,4.6,-,0.2,2.4,T,2.5,4.0,-,-,1.0,-,T
25,18.0,-,3.0,-,-,5.5,38.5,15.0,-,23.0,25.9,18.0
26,-,-,-,1.0,-,45.0,T,0.5,-,1.5,-,5.0
27,-,T,-,9.0,8.3,40.0,1.5,-,-,6.9,-,-
28,1.0,-,0.1,6.0,5.0,12.0,7.0,-,-,4.0,-,-
29,-,,-,-,45.0,3.5,-,34.5,1.0,T,-,-
