Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,2.4,-,-,-,0.3,-,-,-,-,-
3,-,-,0.5,-,-,-,6.3,8.6,0.5,-,-,0.2
4,-,-,0.1,-,-,157.9,0.1,1.5,-,0.4,-,-
5,0.1,0.4,25.1,0.9,-,6.5,-,14.4,-,31.6,-,-
6,0.4,-,36.2,1.6,-,-,-,84.9,-,5.8,-,-
7,2.1,-,31.6,17.1,-,-,-,37.5,-,0.1,-,-
8,1.2,-,14.2,-,-,-,-,57.9,-,-,-,-
9,T,-,21.1,-,-,-,-,93.8,-,-,-,-
10,-,-,-,-,-,-,-,22.5,-,-,6.0,-
11,-,-,1.6,-,-,-,-,0.2,-,T,-,-
12,-,-,0.5,-,-,0.2,-,-,-,-,1.6,-
13,-,-,1.1,14.1,-,41.0,0.4,-,1.2,-,37.3,-
14,-,-,7.3,1.4,-,11.0,27.4,-,-,-,-,-
15,-,-,-,-,-,-,-,-,11.5,-,4.8,0.4
16,-,T,-,5.6,-,-,-,-,-,-,0.4,8.0
17,-,-,-,0.9,-,-,-,-,-,-,7.3,0.7
18,-,1.5,-,0.9,-,-,-,-,-,-,-,-
19,-,1.1,-,0.2,-,-,14.0,-,-,-,-,0.1
20,-,26.8,-,18.3,-,-,-,-,-,-,4.7,-
21,-,-,-,1.4,-,28.9,-,-,-,-,0.1,-
22,-,-,2.6,0.7,-,2.3,-,-,-,2.0,6.5,-
23,0.6,1.1,5.6,-,-,-,-,T,-,2.4,-,-
24,-,0.7,3.9,-,-,-,-,-,-,4.6,0.2,-
25,-,-,-,5.3,-,-,-,-,-,-,-,-
26,T,0.6,-,6.0,3.7,0.3,-,-,-,-,-,-
27,-,-,-,-,22.0,-,-,-,0.5,-,-,11.8
28,T,4.2,1.7,-,-,-,-,-,3.7,-,-,9.2
29,-,,24.0,-,-,-,-,-,1.6,-,-,2.9
30,4.8,,-,-,-,-,-,-,-,-,-,7.6
31,-,,-,,-,,-,-,,-,,0.7
總和值,9.2,36.4,179.5,74.4,25.7,248.1,48.5,321.3,19.0,46.9,68.9,41.6
1,-,-,-,-,-,-,-,-,1.0,-,-,-
2,18.4,-,1.8,10.0,-,17.3,-,-,21.4,-,-,-
3,9.5,-,-,1.0,-,44.1,-,-,-,-,-,-
4,-,2.0,-,3.6,-,7.7,-,-,1.9,-,1.0,0.1
5,-,1.5,-,6.6,-,0.3,-,0.6,-,-,3.0,-
6,9.0,14.8,-,18.4,1.6,-,-,-,-,-,8.4,-
7,5.3,13.6,-,2.8,31.9,-,-,-,-,-,0.1,-
8,6.3,-,2.8,56.4,-,-,-,-,-,0.1,-,-
9,-,0.1,27.5,0.3,5.2,-,-,4.8,0.7,-,-,-
10,-,-,-,-,22.5,66.7,-,-,-,0.4,-,-
11,4.0,-,-,-,4.9,24.8,-,-,6.8,-,-,-
12,3.5,1.6,-,-,-,13.7,-,0.3,3.4,-,-,-
13,-,36.9,39.3,0.6,-,68.8,-,-,-,-,7.7,-
14,-,2.2,-,-,0.4,14.4,-,-,-,-,1.5,0.5
15,-,13.3,-,16.5,0.9,2.7,-,-,-,-,-,9.6
16,-,48.4,0.1,0.6,-,-,-,1.5,-,-,0.5,39.6
17,-,37.0,-,-,-,1.0,-,-,-,-,-,-
18,-,19.4,-,3.1,-,-,-,7.7,12.3,T,-,-
19,-,33.7,-,-,-,-,-,-,42.4,0.8,0.4,-
20,-,-,-,-,0.3,-,-,-,3.1,9.3,-,-
21,-,0.3,-,-,-,-,0.3,-,0.7,42.1,-,-
22,4.5,0.7,-,-,-,-,-,-,-,9.0,T,-
23,0.2,-,-,15.4,67.5,-,-,0.4,-,-,-,-
24,3.1,-,1.5,4.0,-,18.0,29.6,-,-,-,-,-
25,21.5,-,11.0,-,-,24.9,13.8,0.4,-,6.0,4.1,8.7
26,-,-,-,5.8,-,-,2.6,-,-,0.1,-,2.6
27,-,-,-,16.0,1.2,40.9,17.3,-,-,8.5,-,-
28,-,-,-,4.6,1.4,3.8,13.6,-,-,2.6,-,-
29,-,,-,-,57.5,-,-,-,-,-,-,-
30,-,,-,2.8,28.7,-,-,74.7,-,1.1,-,-
31,-,,-,,-,,-,39.6,,-,,-
