Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,T,-,-
2,-,-,-,-,-,1.0,-,-,28.5,-,-,-
3,-,-,-,-,-,18.0,1.0,30.5,1.0,-,-,-
4,-,-,-,-,4.0,137.0,16.0,3.0,-,-,-,-
5,-,-,8.0,-,-,1.0,0.5,9.0,-,21.5,-,-
6,-,-,51.5,1.0,-,-,35.5,21.0,-,6.0,-,-
7,-,-,28.5,10.0,-,-,2.0,45.5,-,-,-,-
8,-,-,10.5,-,-,-,-,279.5,-,-,-,-
9,-,-,8.0,-,-,-,-,338.5,-,-,-,-
10,-,-,-,-,-,5.5,-,13.0,-,T,5.0,-
11,-,-,-,-,-,8.5,-,8.0,T,2.0,-,-
12,-,-,-,-,-,3.5,-,0.5,-,-,-,-
13,-,-,-,14.5,-,21.5,10.0,4.5,-,-,11.5,-
14,-,-,0.5,27.5,-,38.0,2.5,-,1.1,-,0.5,-
15,-,-,-,1.0,-,-,-,6.0,13.0,-,4.5,-
16,-,-,-,7.5,-,-,-,-,0.1,-,-,1.5
17,-,-,-,7.5,0.5,1.0,-,13.5,-,-,T,9.0
18,-,-,-,1.5,T,6.5,1.5,1.0,-,0.5,0.5,-
19,-,-,-,-,0.2,-,14.5,-,-,-,-,-
20,-,3.0,-,30.7,-,11.5,4.0,-,-,-,-,-
21,-,-,-,8.0,10.5,6.0,3.0,-,1.5,-,-,-
22,-,-,-,47.5,18.0,4.0,-,-,-,-,-,-
23,-,-,13.0,-,-,12.0,0.2,-,-,-,-,-
24,0.2,-,19.5,-,10.0,1.0,1.0,-,-,-,-,0.5
25,-,-,0.5,-,-,7.0,2.0,T,-,-,-,1.0
26,-,-,-,26.5,T,-,40.5,9.5,-,-,-,-
27,-,-,-,6.5,27.0,-,-,0.5,20.0,-,-,-
28,-,-,-,0.7,-,-,-,1.0,2.5,-,-,3.0
29,-,,14.0,0.5,-,-,12.5,-,7.0,-,-,-
30,-,,-,-,-,-,-,-,14.0,-,-,2.0
31,-,,0.1,,-,,-,-,,-,,7.5
總和值,0.2,3.0,154.1,190.9,70.2,283.0,146.7,784.5,88.7,30.0,22.0,24.5
1,-,-,-,-,-,-,-,4.0,23.0,-,-,-
2,1.5,-,0.2,0.3,-,5.5,-,4.5,0.2,-,-,-
3,18.0,-,-,1.5,-,7.5,-,0.1,-,0.5,-,-
4,-,-,-,-,-,1.5,-,-,9.0,-,6.0,-
5,-,-,-,3.0,13.5,12.0,-,16.0,T,-,2.0,-
6,3.5,4.0,-,24.5,0.5,6.0,-,-,4.0,-,-,-
7,2.7,2.0,-,3.5,0.5,-,-,-,-,0.5,-,-
8,13.5,-,-,17.0,0.5,-,-,-,1.0,T,-,-
9,-,-,10.0,5.0,-,0.2,2.5,-,3.5,-,-,-
10,-,-,1.5,-,3.0,144.5,10.5,5.5,0.5,-,-,-
11,0.5,-,-,-,-,33.0,-,1.0,13.5,-,-,-
12,1.0,1.0,-,-,-,17.0,14.0,23.0,9.5,-,1.5,-
13,-,11.0,7.0,-,0.3,28.0,35.5,-,-,-,28.5,-
14,-,-,-,-,-,40.5,2.0,4.0,-,2.5,0.5,-
15,-,0.5,-,10.5,T,0.5,17.0,11.0,-,-,0.5,1.5
16,-,13.5,-,0.5,-,-,8.0,7.2,3.5,-,-,29.0
17,-,18.5,-,-,-,-,49.7,8.0,8.5,-,-,0.5
18,-,16.0,-,-,-,-,11.5,16.5,-,-,-,-
19,-,44.5,-,0.5,-,-,-,-,42.5,-,-,-
20,-,2.0,1.0,23.5,2.0,-,0.5,-,1.0,-,-,-
21,-,-,-,17.5,24.0,28.0,23.2,-,7.5,5.0,-,-
22,-,1.5,-,T,-,71.5,T,0.5,-,1.0,-,-
23,-,-,-,13.3,84.5,16.5,6.5,-,-,-,-,-
24,-,-,-,1.5,1.0,7.5,4.5,2.5,T,-,-,-
25,3.0,0.2,10.5,-,-,27.0,25.5,11.0,-,-,T,1.0
26,2.0,-,3.0,-,-,0.3,47.5,7.5,-,-,-,3.5
27,-,0.5,-,0.5,-,6.0,57.0,-,-,-,-,-
28,-,-,-,26.5,19.5,5.5,88.5,57.5,-,-,-,-
29,-,,-,16.5,59.2,15.5,1.0,9.5,-,-,-,-
30,-,,-,19.5,29.0,-,2.5,7.0,-,-,-,-
31,-,,-,,0.5,,-,26.0,,-,,-
總和值,45.7,115.2,33.2,185.1,238.0,474.0,407.4,222.3,127.2,9.5,39.0,35.5
1,-,-,-,-,0.5,15.0,T,-,3.0,4.0,-,-
2,-,-,-,-,0.5,3.5,0.5,-,7.5,2.0,-,1.5
3,-,-,-,T,0.2,-,-,-,-,23.5,-,-
4,-,-,-,T,-,-,2.0,-,-,-,-,-
5,0.5,-,-,-,-,-,-,-,-,-,-,21.0
6,T,-,-,-,-,-,-,25.0,-,-,-,-
7,-,-,8.5,2.0,-,-,-,38.0,-,1.0,6.5,-
8,-,-,0.5,-,-,-,-,31.0,-,-,10.5,-
9,-,-,-,-,-,3.5,-,3.5,-,0.5,32.0,6.5
10,-,-,0.2,-,T,10.0,-,19.0,10.0,0.5,102.0,1.0
11,15.5,-,1.0,-,-,-,58.0,3.0,-,11.5,2.5,1.5
12,23.0,-,-,-,102.5,9.0,25.0,4.0,45.5,1.0,-,1.0
13,0.5,4.0,-,-,54.0,3.0,71.5,-,-,-,-,0.5
14,-,12.0,-,-,T,-,52.0,-,-,9.5,-,T
15,-,0.2,-,-,0.1,-,0.5,-,-,2.5,-,-
16,1.0,T,-,-,17.5,-,2.0,0.5,-,-,1.5,-
17,-,-,-,17.5,27.5,-,9.5,-,-,-,5.5,-
18,-,-,6.0,1.5,6.0,41.5,23.5,10.5,-,-,0.5,-
19,-,0.5,1.0,-,7.5,13.0,69.5,-,2.0,-,4.0,-
20,3.0,4.5,-,-,-,-,12.5,-,-,-,12.0,T
21,14.0,-,-,-,2.5,10.0,21.0,-,-,-,-,-
22,-,-,0.1,1.5,22.0,-,-,-,-,-,-,-
23,-,-,-,1.0,47.5,0.5,-,T,-,-,-,1.0
24,-,1.0,-,-,3.5,10.0,-,80.5,-,-,-,-
25,-,-,0.5,-,7.5,42.5,10.0,-,0.5,-,-,-
26,-,-,T,-,50.5,10.5,-,-,-,-,-,-
27,-,-,19.5,-,T,15.5,-,0.5,-,-,-,-
28,-,-,9.0,-,-,27.5,-,7.0,1.5,-,-,-
29,T,,-,T,-,2.0,18.0,1.5,2.5,-,-,-
30,0.5,,-,-,-,-,35.0,6.0,1.0,-,-,1.0
31,-,,-,,1.5,,2.0,11.0,,-,,12.0
總和值,58.0,22.2,46.3,23.5,351.3,217.0,412.5,241.0,73.5,56.0,177.0,47.0
1,-,-,-,1.0,-,-,0.5,11.5,21.5,-,-,5.5
2,1.5,-,-,-,21.5,-,0.2,482.5,1.0,-,-,1.0
3,-,1.0,-,3.0,83.5,-,-,7.5,24.0,-,-,1.0
4,-,-,-,-,48.5,0.5,-,-,1.5,-,-,-
5,6.0,-,-,-,-,-,20.5,-,-,-,T,26.0
6,7.0,-,-,34.5,-,-,2.0,-,-,-,-,4.0
7,-,7.0,-,2.0,-,0.5,4.0,31.5,23.0,-,-,3.0
8,-,18.0,-,0.5,-,66.0,-,4.5,47.5,-,-,10.5
9,-,-,3.0,0.2,17.5,9.5,-,-,-,-,-,18.5
