Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,0.2,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,3.0,1.6,-,-,-,-
4,-,-,-,-,-,15.5,8.0,5.4,-,-,-,-
5,-,-,6.5,-,-,-,11.0,8.4,-,16.6,-,T
6,-,-,30.5,-,-,-,-,25.3,-,-,-,-
7,-,-,16.0,-,-,-,2.8,49.2,-,-,-,-
8,-,-,1.6,-,-,-,-,342.2,-,-,-,-
9,-,-,-,-,-,-,-,263.5,-,-,-,-
10,-,-,-,-,-,-,-,20.3,-,-,10.0,-
11,-,-,-,-,-,-,-,0.8,-,-,-,-
12,-,-,-,-,-,1.0,-,-,-,-,-,-
13,-,-,1.9,3.5,-,T,64.2,-,1.3,-,46.0,-
14,-,-,-,T,-,17.5,33.6,-,-,-,-,-
15,-,-,-,-,-,-,-,-,2.6,-,-,-
16,-,-,-,15.5,-,-,-,-,-,-,-,-
17,-,-,-,37.5,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,2.0,-,0.9,-,-,-
20,-,4.5,-,3.0,-,7.5,-,-,-,-,-,-
21,-,-,-,4.0,-,47.5,-,-,-,-,-,-
22,-,-,-,20.5,-,-,-,-,-,-,0.2,-
23,-,-,-,-,-,-,0.5,-,-,-,-,-
24,-,-,-,-,-,-,-,-,-,0.5,-,1.5
25,-,-,-,-,-,-,2.4,-,-,-,-,0.5
26,-,-,-,2.0,-,-,-,-,-,-,-,-
27,-,-,-,-,18.7,-,1.4,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,-,-
29,-,,5.5,-,-,-,-,-,2.4,-,-,-
30,-,,-,-,-,-,-,-,7.8,-,-,1.0
31,-,,-,,-,,-,-,,-,,-
總和值,-,4.5,62.0,86.0,18.7,89.0,128.9,716.7,15.0,17.3,56.2,3.0
1,-,-,-,-,-,-,-,-,34.0,-,-,-
2,-,-,-,0.2,-,-,-,-,16.5,-,-,-
3,0.5,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,8.0,-,8.5,-
5,-,-,-,-,-,-,-,0.2,-,-,4.5,-
6,-,-,-,2.0,-,-,-,-,-,-,0.5,-
7,-,-,-,0.5,-,-,-,-,-,-,-,-
8,0.5,-,-,3.0,-,-,-,-,1.3,-,-,-
9,-,-,0.3,-,-,-,-,-,42.0,-,-,-
10,-,-,-,-,-,3.5,-,-,41.3,-,-,-
11,-,-,-,-,-,-,0.2,0.5,-,-,-,-
12,-,-,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,18.0,0.3,-,-,-,12.0,-
14,-,-,-,-,-,-,-,0.5,-,-,0.4,-
15,-,-,-,3.0,-,-,-,-,-,-,-,-
16,-,0.5,-,-,-,-,-,0.5,-,-,-,10.5
17,-,1.0,-,-,-,-,-,2.5,-,-,-,-
18,-,1.5,-,-,-,-,-,-,-,-,-,-
19,-,10.0,-,-,-,-,-,-,58.0,-,-,-
20,-,0.5,-,-,-,-,-,-,68.0,-,-,-
21,-,-,-,-,-,-,9.8,-,-,10.0,-,-
22,-,-,-,-,-,-,-,-,-,27.5,-,-
23,-,-,-,6.0,13.1,1.5,-,1.0,-,18.5,-,-
24,-,-,-,-,-,7.0,-,-,-,-,-,-
25,4.0,-,-,-,-,10.5,9.8,0.5,-,-,-,-
26,-,-,-,-,-,-,23.7,-,-,-,-,-
27,-,-,-,-,17.8,-,67.5,-,-,-,-,-
28,-,-,-,T,36.4,-,56.7,-,-,-,-,-
29,-,,-,0.5,1.2,-,0.6,42.5,-,-,-,-
30,-,,-,3.5,15.5,-,27.2,-,1.7,-,-,-
31,-,,-,,-,,-,1.0,,-,,-
總和值,5.0,13.5,0.3,18.7,84.0,40.5,195.8,49.2,270.8,56.0,25.9,10.5
1,-,-,-,-,-,39.7,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,1.0,-,-
3,-,-,-,-,-,-,3.0,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-
5,1.0,-,-,-,-,-,-,-,-,-,-,6.1
6,-,-,-,-,-,-,-,-,-,-,-,0.1
7,-,-,12.6,-,-,-,-,-,-,-,3.5,-
8,-,-,-,-,-,-,-,0.3,T,-,46.0,-
9,-,-,-,-,-,-,-,0.3,-,-,109.0,-
10,-,-,-,-,-,-,0.6,-,-,-,13.0,-
11,-,-,-,-,-,1.5,3.0,2.5,-,0.9,8.0,-
12,1.5,-,-,-,-,3.5,0.8,-,-,-,T,-
13,0.5,8.9,-,-,-,-,55.9,-,-,-,-,-
14,-,5.6,-,-,-,-,34.4,-,-,16.0,-,-
15,-,3.1,-,-,-,-,27.9,-,-,-,-,-
16,-,0.5,-,-,6.2,-,53.5,-,-,-,-,-
17,-,-,-,33.5,11.7,-,15.4,-,-,-,3.0,-
18,-,-,0.7,-,-,-,6.4,-,-,-,0.4,-
19,-,-,1.4,-,-,-,8.9,-,1.3,-,13.7,-
20,4.5,1.4,-,-,5.6,-,26.2,-,-,-,-,-
21,6.5,-,-,-,1.5,-,1.1,-,-,-,-,-
22,-,-,-,-,3.4,1.5,-,-,-,-,-,-
23,-,-,-,-,48.9,-,-,-,-,-,-,-
24,-,-,-,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,T,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,5.5,-,-,2.5,-,-,-,-,-,-
28,-,-,0.9,-,-,43.0,-,0.5,0.9,-,-,-
29,-,,-,2.0,-,0.5,16.0,25.5,-,-,-,-
30,-,,-,-,-,-,-,142.0,-,-,-,-
31,-,,-,,1.3,,-,23.0,,-,,2.0
總和值,14.0,19.5,21.1,35.5,78.6,92.2,253.1,194.1,2.2,17.9,196.6,8.2
1,-,-,-,-,-,-,-,4.6,-,-,-,2.5
2,-,-,-,-,-,-,-,62.1,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,1.5,-,-,-,-,-,-,-
5,-,-,-,0.9,-,-,-,-,-,-,-,20.0
6,0.5,5.3,-,-,-,-,0.2,-,-,-,-,-
7,T,4.9,-,-,-,0.9,-,-,-,-,-,-
8,-,5.4,-,-,-,7.5,-,-,-,-,-,7.4
9,-,-,1.0,-,-,8.4,-,-,-,-,-,5.9
10,-,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,2.0,-,-,2.2,-
12,-,-,2.0,-,-,37.9,-,3.0,-,-,-,-
13,0.7,-,-,-,-,14.9,-,-,-,-,-,-
14,0.4,0.5,-,-,-,66.4,-,-,-,-,-,-
15,0.4,-,-,-,-,-,1.2,-,0.5,-,-,-
16,1.9,-,-,13.5,23.3,7.5,-,-,-,-,-,-
17,-,-,14.4,8.5,15.3,4.0,-,21.0,-,-,41.2,-
18,-,-,-,1.5,13.1,4.0,-,T,-,-,2.2,-
19,-,-,-,-,49.5,21.5,-,-,-,-,-,-
20,-,-,-,7.0,1.8,53.5,-,-,-,-,-,-
21,-,0.5,-,-,-,46.0,-,-,-,-,0.6,-
22,2.3,-,-,-,-,8.5,52.5,-,-,-,17.8,-
23,6.1,4.0,-,-,-,5.5,6.2,-,-,-,43.0,-
24,1.3,4.0,-,-,-,2.0,2.5,3.0,-,-,-,-
25,0.2,T,-,9.5,-,-,-,11.0,-,-,-,-
26,-,-,-,1.5,15.3,-,-,-,-,-,4.3,-
27,-,1.0,-,1.5,17.4,-,-,1.0,-,-,-,-
28,-,10.0,-,12.5,2.1,-,-,-,-,-,-,-
29,-,10.0,-,-,2.5,0.4,-,-,-,-,-,-
30,-,,-,4.0,4.0,-,-,-,-,-,5.3,6.5
31,-,,-,,-,,1.9,1.0,,-,,-
總和值,13.8,35.6,17.4,62.9,143.7,288.5,64.5,108.7,0.5,-,116.6,42.8
1,-,-,-,-,17.0,-,-,-,-,-,-,-
2,1.0,-,-,-,T,-,T,8.5,-,-,-,-
3,0.5,10.5,-,11.3,2.0,-,-,-,-,-,-,-
4,-,-,-,16.4,-,-,-,-,-,-,-,-
5,-,-,-,116.0,-,-,5.0,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,0.4,-,-,-,-,-
9,-,-,-,6.8,-,-,16.8,-,-,-,-,-
10,-,-,-,0.4,-,-,-,-,-,-,0.1,-
11,-,-,-,-,-,-,-,-,-,-,-,-
12,2.0,-,-,0.5,T,78.0,-,-,-,-,-,-
13,13.0,-,-,0.2,4.0,3.0,10.5,-,-,-,-,-
14,-,-,-,-,-,-,2.9,3.5,-,-,-,1.0
15,-,-,-,0.5,-,-,-,37.5,-,-,-,0.5
16,-,-,-,1.0,17.9,-,-,10.0,-,-,-,5.5
17,-,-,9.1,-,43.8,-,-,-,-,-,-,T
18,-,-,1.5,0.5,4.6,0.5,10.9,-,-,-,-,T
19,-,-,-,3.0,6.6,-,-,-,-,-,-,-
20,-,-,-,-,24.9,-,-,13.0,-,-,-,-
21,-,-,4.9,-,14.9,-,-,61.0,1.4,-,-,-
22,-,-,-,-,1.6,5.0,-,55.0,22.2,-,0.3,-
23,-,-,-,-,2.5,T,-,57.5,-,-,-,-
24,-,-,-,-,-,27.5,-,4.0,-,-,29.2,-
25,-,-,-,0.5,-,27.0,-,-,-,-,6.1,-
26,-,-,6.0,0.5,-,-,0.6,-,-,-,-,-
27,-,-,2.2,-,1.7,-,-,-,-,-,-,-
28,-,-,-,-,-,-,1.1,-,-,-,-,-
29,-,,-,-,-,-,-,30.5,-,-,-,-
30,-,,-,-,-,-,-,4.0,-,-,-,-
31,-,,2.5,,-,,-,78.5,,-,,-
總和值,16.5,10.5,26.2,157.6,141.5,141.0,48.2,363.0,23.6,-,35.7,7.0
1,-,-,-,-,2.0,-,-,-,26.1,-,-,-
2,-,-,1.0,12.2,-,-,-,-,-,-,-,1.7
3,-,-,-,6.7,-,0.5,-,-,-,-,-,11.6
4,-,-,-,-,-,-,-,0.4,-,-,-,7.0
5,-,-,-,-,28.0,38.0,-,-,-,-,-,-
6,-,1.0,-,0.2,8.0,6.0,-,T,-,-,-,-
7,-,-,-,0.1,8.3,17.0,-,-,-,-,-,-
8,-,-,-,-,-,2.0,-,2.0,-,-,-,-
9,-,3.0,-,-,16.3,-,-,-,-,-,-,-
10,-,4.5,-,-,0.1,T,-,2.1,0.3,-,-,-
11,-,1.0,T,-,-,-,-,78.9,-,-,-,-
12,-,-,4.8,-,8.4,-,0.3,12.5,-,-,-,-
13,-,0.5,0.2,-,23.2,-,-,18.8,-,-,-,-
14,-,-,-,-,-,6.0,-,-,-,-,11.1,-
15,-,1.0,-,-,-,26.5,-,-,-,-,0.5,-
16,-,-,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,-,-,-,-,-
18,-,-,-,-,0.6,-,0.3,4.7,-,-,-,-
19,-,0.5,-,-,5.6,2.5,10.4,0.9,-,-,-,0.2
20,-,0.5,-,-,0.3,-,-,-,5.9,-,-,0.5
21,-,-,-,-,15.8,6.0,-,-,2.9,-,-,-
22,-,-,-,-,-,1.5,1.0,-,-,-,-,-
23,-,-,-,-,36.8,9.0,31.0,-,-,-,-,-
24,-,-,-,-,-,1.5,1.6,-,8.5,-,-,-
25,-,-,-,-,-,1.5,26.7,-,-,-,-,0.2
26,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,48.6,-,-,-,-,-,-,-,-,1.5
28,-,-,-,-,-,-,-,-,-,-,-,0.5
29,-,,-,-,-,3.5,-,-,-,-,-,-
30,-,,-,-,-,-,-,-,-,-,-,-
31,-,,27.2,,-,,-,-,,-,,-
總和值,-,12.0,81.8,19.2,153.4,121.5,71.3,120.3,43.7,-,11.6,23.2
1,-,-,-,-,-,-,3.6,-,0.6,-,-,-
2,-,-,-,-,-,-,-,-,3.6,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,6.7,-,-,-,-,-,-
7,-,-,-,-,-,-,7.0,-,5.2,-,-,-
8,-,-,-,-,-,-,17.1,161.0,-,0.1,-,-
9,-,-,-,-,-,-,0.1,112.2,-,1.8,-,11.5
10,-,-,-,-,-,-,-,-,-,-,-,24.6
11,-,-,-,7.5,-,-,-,-,-,0.3,-,-
12,-,-,T,-,-,-,-,-,-,-,-,-
13,9.6,-,-,-,-,-,-,12.7,-,-,-,-
14,5.5,-,-,-,-,-,-,21.2,-,-,-,-
15,-,-,-,-,T,-,0.1,0.8,-,-,-,-
16,-,16.8,34.0,-,-,-,-,2.8,2.0,-,-,-
17,-,-,0.3,-,-,-,-,4.3,-,-,-,-
18,-,-,-,1.8,-,-,15.7,-,-,-,-,-
19,-,-,-,-,-,-,43.4,-,-,-,-,-
20,-,-,-,-,43.8,-,17.3,-,-,0.4,-,T
21,-,39.4,-,26.6,37.3,14.4,-,-,-,0.4,T,3.0
22,-,-,-,-,19.8,9.4,29.4,-,3.3,-,-,-
23,-,T,16.1,-,2.0,-,-,0.5,-,1.5,-,-
24,-,-,-,-,78.6,2.8,-,T,-,-,-,0.4
25,-,-,1.5,-,15.1,-,-,7.6,-,-,-,-
26,5.6,-,-,-,62.7,0.1,-,23.4,-,-,-,-
27,-,-,-,-,-,0.1,0.2,17.0,-,-,-,-
28,-,-,-,-,-,-,-,98.1,11.5,-,-,-
29,-,,-,-,-,-,-,60.4,142.5,-,-,-
30,-,,-,-,-,-,-,88.3,-,-,-,-
31,-,,-,,7.9,,-,46.5,,-,,-
總和值,20.7,56.2,51.9,35.9,267.2,33.5,133.9,656.8,168.7,4.5,T,39.5
1,-,2.8,-,-,0.4,-,-,3.3,-,1.1,-,-
2,6.3,0.5,-,-,0.2,0.1,3.8,-,2.0,-,-,-
3,24.4,-,-,-,-,1.3,0.2,-,120.3,-,-,-
4,-,4.5,-,-,-,-,-,-,7.5,-,-,-
5,-,-,-,-,-,-,-,-,0.4,-,-,-
6,1.7,-,-,-,-,0.7,-,-,17.8,-,-,-
7,-,-,-,-,-,T,-,-,15.4,-,-,-
8,-,-,-,-,-,8.6,195.0,-,29.7,62.6,-,-
9,-,-,3.7,-,-,1.6,62.8,-,1.5,61.9,-,-
10,-,-,33.7,22.4,9.5,12.2,41.8,-,-,14.5,0.3,-
11,3.1,26.6,14.2,60.6,0.6,31.8,28.6,22.1,-,-,-,-
12,-,0.4,-,1.6,-,8.8,15.8,9.1,-,-,-,-
13,-,-,2.4,44.6,4.3,14.2,-,24.0,-,-,-,-
14,-,-,16.5,67.2,-,1.5,-,-,62.1,-,-,-
15,5.1,-,T,63.5,-,-,-,1.0,26.0,-,-,-
16,0.7,-,0.4,-,-,0.2,-,29.9,-,-,-,-
17,3.2,0.9,-,-,-,-,-,7.4,-,-,-,-
18,-,2.9,-,1.4,-,-,-,-,-,-,-,-
19,-,-,2.6,-,-,-,-,0.8,-,-,-,-
20,-,-,0.2,-,-,-,-,-,-,-,-,-
21,0.2,-,14.8,-,20.5,-,-,-,-,2.4,T,-
