Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,2.5,-,-,-,-,-,-,0.5,-,-
2,-,-,3.5,-,-,-,3.0,-,-,-,-,-
3,-,-,2.5,-,-,-,9.0,1.5,-,-,-,1.0
4,1.0,-,0.5,-,0.5,145.5,-,1.5,-,3.5,-,-
5,0.5,2.5,19.0,7.0,-,8.0,-,-,-,62.5,-,-
6,4.0,0.5,37.0,1.5,-,-,-,76.5,-,5.5,-,-
7,6.0,-,32.5,14.0,-,-,-,42.0,-,-,-,-
8,7.0,-,14.0,0.5,-,-,-,48.5,-,-,-,-
9,1.0,-,22.5,-,-,-,-,55.5,-,-,-,-
10,-,-,-,-,-,-,-,15.5,-,-,6.0,-
11,-,-,2.0,-,-,-,-,-,-,1.0,-,-
12,-,-,1.5,-,-,-,-,-,-,-,3.5,-
13,-,-,2.5,9.5,-,14.0,1.0,-,-,-,33.0,-
14,-,-,8.0,3.0,-,6.0,19.5,-,-,-,-,-
15,-,-,-,-,-,-,-,-,2.0,-,3.0,2.0
16,-,1.5,-,3.0,-,-,-,-,-,-,1.5,16.0
17,-,-,-,1.0,-,-,-,-,-,-,25.5,11.0
18,-,1.5,-,12.5,-,-,-,-,-,-,3.5,1.0
19,-,1.0,-,-,-,-,7.5,-,-,-,0.5,1.5
20,-,25.5,-,16.5,-,-,3.0,-,-,-,7.5,-
21,-,-,-,1.0,-,1.5,-,-,-,-,0.5,-
22,-,-,12.5,5.0,-,1.0,-,-,-,5.5,9.5,-
23,4.5,0.5,5.5,-,-,-,-,-,-,23.0,-,-
24,-,0.5,19.0,-,-,0.5,-,-,-,2.0,2.5,-
25,-,-,-,8.0,-,-,-,-,-,0.5,-,0.5
26,0.5,1.5,-,8.5,5.5,5.0,-,-,-,-,-,-
27,1.0,-,-,-,20.5,-,-,-,-,-,-,17.5
28,-,2.5,3.5,-,-,-,-,-,6.0,-,-,10.5
29,-,,24.5,-,-,-,-,-,8.0,-,-,2.5
30,11.5,,-,-,-,-,-,-,4.5,-,-,6.5
