Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,0.2,-,-,-
2,4.7,-,-,1.5,-,15.5,-,-,37.0,-,-,-
3,5.0,-,-,1.0,-,6.5,-,-,-,0.3,-,-
4,-,0.1,-,T,-,0.1,-,-,6.5,-,1.7,-
5,-,-,-,3.0,-,-,-,0.1,-,-,1.5,-
6,4.1,13.0,-,14.5,0.5,-,-,-,-,-,0.1,-
7,1.0,1.0,-,-,11.0,-,4.5,-,-,-,-,-
8,2.5,-,-,41.0,0.6,-,-,-,17.0,0.1,-,-
9,-,-,4.5,13.0,0.6,-,-,-,8.5,-,-,-
10,-,-,-,-,4.0,2.5,-,-,6.0,-,-,-
11,0.2,-,-,-,-,37.0,-,-,4.0,-,-,-
12,0.5,11.5,-,-,-,13.5,-,T,0.5,-,-,-
13,-,9.1,24.0,-,-,37.5,0.4,-,-,-,7.7,-
14,-,-,-,-,-,85.0,-,0.2,-,-,1.5,-
15,-,3.5,-,10.0,2.5,7.0,-,-,-,-,-,2.5
16,-,8.0,-,1.5,-,-,-,-,0.5,-,-,21.5
17,-,15.5,-,-,-,1.6,-,2.5,-,-,-,-
18,-,14.0,-,0.1,-,-,-,0.5,7.0,-,-,-
19,-,17.0,-,-,-,-,-,-,6.0,-,3.5,-
20,-,0.5,-,-,0.1,1.5,-,-,2.0,T,-,-
21,-,-,-,-,-,-,0.2,-,2.0,0.2,-,-
22,T,0.5,-,-,-,9.0,0.4,-,-,0.1,-,-
23,-,-,-,19.5,106.5,1.0,-,-,-,-,-,-
24,-,-,-,-,-,18.0,-,4.5,-,-,-,-
25,6.5,T,5.0,-,-,72.5,T,7.0,-,-,-,T
26,-,-,-,-,-,-,-,-,-,-,-,-
27,0.2,-,-,0.3,-,3.0,114.5,-,-,-,-,-
28,-,-,-,0.5,1.8,1.1,67.5,-,-,-,-,-
29,-,,-,T,39.5,-,-,15.5,-,-,-,-
30,-,,-,6.0,5.0,-,T,13.5,-,-,-,-
31,-,,-,,-,,-,65.0,,-,,-
總和值,24.7,93.7,33.5,111.9,172.1,312.3,187.5,108.8,97.2,0.7,16.0,24.0
1,-,-,-,-,0.5,T,-,-,1.5,3.5,-,-
2,-,-,-,-,0.5,0.2,-,-,3.5,0.5,-,-
3,-,-,-,-,0.2,-,-,-,-,6.0,-,-
4,-,-,-,-,2.0,-,-,-,-,-,-,-
5,3.5,-,-,-,3.0,-,-,8.0,-,-,-,26.6
6,0.2,-,-,-,-,-,-,-,-,-,-,1.0
7,-,-,6.0,-,-,-,-,-,-,-,4.0,-
8,-,-,-,-,-,-,-,3.1,T,-,10.0,-
9,-,-,-,-,-,-,-,27.0,0.3,T,65.0,0.5
10,-,-,0.2,-,-,3.5,0.1,4.0,-,2.5,35.0,-
11,3.2,-,0.7,-,-,-,9.0,-,-,-,28.0,0.5
12,14.0,-,0.1,-,1.9,-,7.0,-,1.5,0.2,T,-
13,T,10.2,-,-,0.3,-,8.6,-,-,-,0.1,T
14,0.1,5.5,-,-,11.0,-,47.0,-,-,2.0,-,0.5
15,-,3.5,-,-,0.4,-,-,-,-,T,-,-
16,-,3.0,-,T,19.8,-,15.5,-,-,-,-,-
17,-,-,-,0.1,6.0,-,4.2,-,-,-,1.0,-
18,-,-,1.2,T,-,-,1.0,-,-,-,-,-
19,-,2.3,1.5,-,-,-,2.0,-,-,-,14.5,-
20,0.2,8.5,-,-,-,-,9.5,-,-,-,0.5,-
21,3.0,-,-,-,-,1.0,7.0,-,-,-,-,-
22,-,-,-,-,16.0,-,-,-,-,-,-,-
23,-,-,-,-,12.5,-,-,-,-,-,-,-
24,-,0.3,-,-,1.0,2.0,-,-,-,-,-,-
25,-,-,-,-,-,13.5,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,18.5,-,-,20.5,-,-,-,-,-,-
28,-,-,5.0,-,-,1.0,-,1.9,0.1,-,-,-
29,-,,-,1.7,-,0.5,-,0.5,-,-,-,-
30,T,,-,0.5,-,-,-,12.5,-,-,-,T
31,-,,-,,-,,-,18.0,,-,,T
總和值,24.2,33.3,33.2,2.3,75.1,42.2,110.9,75.0,6.9,14.7,158.1,29.1
1,-,-,-,-,-,-,-,21.5,-,-,-,5.5
2,-,-,-,-,5.5,-,-,449.0,T,-,-,2.0
3,-,T,-,-,3.5,-,-,27.0,-,-,-,0.1
4,-,-,-,-,7.5,-,-,-,-,-,-,T
5,3.5,-,-,1.5,-,-,-,-,-,-,-,20.0
6,12.5,-,-,0.2,-,-,-,T,-,-,-,1.4
7,-,4.5,-,0.1,-,-,-,0.5,3.0,-,-,0.5
8,-,5.0,T,-,-,-,-,-,-,-,-,10.0
9,-,-,2.5,0.3,-,6.0,-,-,-,-,-,5.0
10,-,-,2.0,-,0.1,1.0,-,23.5,-,-,-,-
11,-,-,6.5,2.5,1.0,8.2,-,-,-,-,-,-
12,-,-,6.5,-,-,54.0,-,0.2,-,-,T,-
13,0.1,-,2.5,-,-,0.1,-,-,-,-,-,-
14,3.5,-,T,-,-,48.7,0.4,-,2.7,-,-,-
15,2.0,0.1,-,-,0.1,18.5,-,-,-,-,-,-
16,13.5,-,-,6.0,8.5,2.7,0.4,21.0,-,-,-,-
17,-,-,-,4.0,48.1,0.1,-,8.0,-,-,18.5,-
18,-,-,-,25.2,31.0,0.2,-,0.1,-,-,11.0,0.5
19,-,-,-,-,1.6,33.5,-,1.0,0.3,-,-,-
20,-,-,-,20.0,9.0,77.0,-,-,-,-,-,-
