Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.2,-,2.0,0.1,-,-,-,-,0.6,41.0,1.5,-
2,-,-,4.0,-,-,-,4.5,-,12.9,-,-,-
3,-,-,1.1,-,0.5,-,3.0,0.3,12.4,0.2,0.5,0.9
4,8.5,2.6,0.2,-,1.0,100.5,-,0.2,1.5,5.9,-,-
5,1.4,10.0,14.0,4.3,-,2.5,-,-,-,60.5,-,-
6,6.5,1.3,28.0,0.1,-,-,-,45.9,-,20.5,-,-
7,7.0,-,34.5,13.0,-,-,-,95.5,-,7.0,-,-
8,12.0,-,5.0,0.4,-,-,-,6.9,-,-,-,-
9,1.5,-,28.0,-,-,-,-,30.5,1.1,-,-,-
10,-,-,-,1.0,-,-,-,4.9,-,0.4,10.3,-
11,-,-,2.0,-,-,18.0,-,-,-,-,-,-
12,-,-,-,-,-,0.2,-,18.5,-,3.0,5.1,4.5
13,-,-,4.0,8.0,-,12.5,-,2.5,4.0,-,30.9,-
14,-,-,5.0,4.5,-,3.0,4.2,-,-,-,0.8,2.1
15,-,-,-,-,-,15.9,-,-,-,-,0.9,1.8
16,-,0.3,-,3.2,-,0.7,-,-,-,-,4.9,21.0
17,-,0.1,-,8.2,-,-,-,-,-,-,28.0,16.0
18,-,-,-,-,5.3,-,-,-,-,-,4.9,1.8
19,-,1.1,-,0.3,0.2,0.9,1.7,-,2.5,-,1.1,0.4
20,1.7,11.6,-,21.5,-,-,-,-,-,-,14.0,-
21,-,-,-,0.5,-,0.3,-,-,-,-,6.3,-
22,-,-,0.9,13.5,-,0.5,-,-,-,9.2,3.1,-
23,6.0,0.8,8.0,-,-,-,-,-,-,48.0,0.2,-
24,-,-,24.5,-,-,-,-,-,-,4.5,2.7,-
25,-,-,-,3.0,-,0.2,0.6,-,0.2,2.2,-,0.6
26,0.9,0.2,-,2.5,3.9,6.5,-,-,0.4,-,-,0.2
27,0.2,-,3.0,-,4.2,0.6,-,-,6.0,-,-,12.9
28,-,3.5,3.0,-,-,-,-,-,78.8,-,3.3,7.0
29,-,,15.5,-,-,-,-,-,53.0,-,-,-
30,6.8,,-,-,-,-,-,4.0,-,-,-,6.5
31,-,,-,,-,,-,-,,-,,-
總和值,52.7,31.5,182.7,84.1,15.1,162.3,14.0,209.2,173.4,202.4,118.5,75.7
1,-,-,-,-,-,-,-,-,0.2,120.5,-,-
2,8.0,-,2.0,5.5,-,11.0,-,-,-,-,-,-
3,6.5,1.7,-,6.0,-,40.0,-,-,-,1.2,-,-
