Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,1.0,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,1.0,T,-,-,-,-
4,0.3,-,-,T,T,10.4,6.9,0.5,0.3,T,-,-
5,-,-,8.5,-,-,-,-,T,0.3,11.1,-,-
6,-,-,32.5,0.7,-,-,-,17.5,0.3,-,-,-
7,-,-,15.0,1.0,-,-,-,36.0,-,-,-,1.3
8,-,-,1.1,-,-,-,-,272.0,-,-,-,-
9,-,-,1.5,-,-,-,-,109.0,-,-,-,-
10,-,-,-,-,-,-,-,10.7,-,-,10.4,-
11,-,-,-,-,-,-,-,0.4,-,0.4,-,-
12,-,-,-,T,-,15.1,-,0.7,-,-,0.5,-
13,-,-,2.4,23.0,-,-,50.0,-,-,-,44.8,-
14,-,-,-,6.5,-,13.2,47.0,-,0.4,-,-,-
15,-,-,-,-,-,-,-,-,3.0,-,-,0.8
16,-,0.4,-,6.6,-,-,-,-,-,-,-,T
17,-,-,-,0.3,T,-,-,-,-,-,0.4,T
18,-,0.1,-,-,T,-,-,-,-,-,-,T
19,-,1.2,-,T,-,0.1,-,-,8.5,-,-,-
20,-,-,-,8.6,-,2.5,-,-,-,-,T,-
21,-,-,-,15.5,-,96.5,-,-,-,-,-,-
22,-,-,-,13.9,-,14.0,-,-,-,-,0.3,-
23,-,-,0.1,-,-,-,-,-,-,-,-,-
24,-,-,0.2,-,-,-,-,-,-,T,-,1.5
25,-,-,-,0.3,-,-,-,-,-,-,-,1.2
26,-,-,-,2.4,-,0.5,0.1,-,-,-,-,-
27,-,-,-,-,3.8,7.0,3.5,-,T,-,-,1.8
28,-,-,-,-,0.4,-,0.6,-,T,-,-,0.3
29,-,,4.3,-,-,-,-,-,1.3,-,-,0.3
30,-,,-,-,-,-,-,-,0.5,-,-,4.5
31,-,,-,,-,,-,8.5,,-,,0.3
總和值,0.3,1.7,65.6,78.8,4.2,159.3,109.1,455.3,14.6,12.5,56.4,12.0
1,-,-,-,-,-,-,-,-,12.0,-,-,-
2,T,-,-,T,-,-,-,-,19.0,-,-,-
3,1.0,-,-,T,-,0.8,-,-,-,0.2,-,-
4,-,-,-,-,-,0.1,-,-,T,-,2.1,-
5,-,-,-,-,-,-,-,-,1.0,-,0.9,-
6,0.4,-,-,4.5,0.2,-,0.2,-,-,-,T,-
7,-,0.4,-,T,5.4,-,-,-,-,T,-,-
8,5.0,-,0.1,4.8,0.1,-,-,-,T,-,-,-
9,-,-,1.5,T,0.1,T,-,-,53.5,-,-,-
10,-,-,-,-,-,16.7,-,-,18.4,-,-,-
11,0.6,-,-,-,-,0.6,-,0.9,-,-,-,-
12,-,1.5,-,-,-,-,-,-,-,-,0.1,-
13,-,-,-,-,-,62.5,-,-,-,-,3.4,-
14,-,-,-,-,-,3.7,-,-,-,-,1.3,T
15,-,-,-,1.4,-,0.1,-,-,-,-,-,0.6
16,-,1.2,-,0.1,-,-,-,-,-,-,-,12.5
17,-,4.3,-,-,-,2.4,-,-,-,-,-,-
18,-,0.5,-,T,-,-,-,-,-,-,T,-
19,-,10.3,-,-,-,-,-,-,36.0,-,0.5,-
20,-,-,-,-,0.1,-,3.7,-,99.0,-,-,-
21,-,-,-,-,-,-,45.0,-,-,4.8,-,-
22,-,2.6,-,-,0.8,-,-,-,-,18.0,-,-
23,-,-,-,11.6,21.0,-,-,0.1,-,26.2,-,-
24,-,-,-,-,-,6.4,T,-,-,3.7,-,-
25,0.8,-,1.7,-,-,28.9,T,T,-,-,-,T
26,T,-,-,-,1.1,14.9,6.1,-,-,-,-,T
