Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,0.2,-,1.5,2.2,0.3,-,-,-,-
4,0.6,-,-,3.1,3.5,160.5,5.7,4.9,2.5,15.0,-,-
5,-,-,-,-,-,1.5,3.5,22.8,-,58.5,-,-
6,-,-,32.0,2.2,-,-,1.2,44.6,-,17.0,-,-
7,-,-,16.5,4.0,-,-,-,506.7,-,-,-,2.0
8,-,-,-,-,-,-,-,697.6,-,-,-,-
9,-,-,3.0,T,-,-,-,709.2,-,1.5,-,-
10,-,-,-,-,-,-,3.5,179.9,-,13.5,0.1,-
11,-,-,-,-,-,18.0,1.0,9.4,-,32.8,-,-
12,-,-,-,-,-,23.5,-,-,-,-,0.2,-
13,-,-,-,28.0,-,7.0,45.5,-,2.5,-,16.4,-
14,-,3.5,-,25.5,-,5.5,3.0,-,-,-,18.1,-
15,-,-,-,0.5,-,-,-,2.0,-,-,2.1,-
16,-,-,-,13.5,-,9.7,-,2.0,-,0.1,-,7.5
17,-,-,-,5.0,1.0,2.7,15.6,2.5,-,-,1.8,7.0
18,-,-,-,-,3.0,-,77.9,3.0,-,-,2.1,-
19,-,-,-,7.0,1.5,17.5,1.7,1.0,0.9,-,-,-
20,-,1.0,-,61.2,-,8.5,-,-,-,-,-,-
21,-,-,-,24.5,2.5,75.5,13.5,-,-,-,-,-
22,-,-,-,43.4,4.0,108.0,-,-,-,-,-,-
23,-,-,0.5,-,-,-,-,4.0,-,-,-,-
24,-,-,34.0,-,20.0,-,1.3,-,-,-,-,1.5
25,-,-,2.5,-,4.0,3.5,6.8,-,-,-,-,2.5
26,-,-,-,29.0,9.0,0.5,2.8,-,2.5,-,-,-
27,-,-,-,3.6,32.5,-,-,-,38.0,-,-,-
28,-,-,0.5,-,17.5,-,-,-,12.0,-,-,13.0
29,-,,37.5,-,0.5,-,-,-,10.0,-,-,-
30,-,,-,-,-,-,-,-,0.5,-,-,6.0
31,-,,-,,-,,-,-,,-,,1.5
總和值,0.6,4.5,126.5,250.7,99.0,443.4,185.2,2189.9,68.9,138.4,40.8,41.0
1,-,-,-,-,-,-,-,1.0,42.5,-,-,-
2,0.9,-,-,2.0,0.5,6.8,-,5.5,6.5,4.5,-,1.1
3,13.5,-,-,0.5,-,21.0,-,7.5,1.0,2.0,-,-
4,-,-,-,-,-,17.5,-,2.0,45.5,17.5,48.9,-
5,-,-,-,0.5,-,0.5,-,0.5,7.5,-,39.3,-
6,1.0,-,-,21.0,-,0.4,-,-,-,28.5,-,-
7,1.0,-,-,7.0,1.5,-,-,-,0.5,8.5,-,-
8,4.0,-,-,27.5,1.5,-,-,-,4.5,7.5,2.0,-
9,-,-,7.0,2.5,-,-,-,-,30.0,13.0,-,-
10,-,-,-,-,2.0,28.5,2.3,-,8.0,2.5,-,-
11,T,-,-,-,0.5,47.0,11.4,3.0,-,-,-,T
12,2.0,5.0,-,-,0.5,54.0,-,-,T,14.5,9.8,-
13,-,4.0,5.0,-,-,52.7,25.5,-,-,8.0,43.6,-
14,-,-,-,-,-,42.7,4.5,4.5,1.0,-,1.0,-
15,-,-,-,19.0,2.5,11.4,1.5,10.5,-,1.7,14.5,6.0
16,-,10.0,-,1.0,-,0.4,-,-,-,5.0,5.5,43.0
17,-,9.0,-,-,-,-,-,-,-,2.0,-,-
18,-,-,-,1.0,-,-,9.5,9.0,1.0,3.0,0.7,-
