Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,2.0,7.5,-,-,-,-,2.5,6.0,17.0,-
2,1.0,-,T,T,-,0.5,3.0,-,21.0,7.0,T,-
3,-,6.0,1.5,-,3.0,T,4.0,5.0,31.5,28.0,7.0,2.0
4,12.0,21.5,-,-,3.5,139.5,-,0.5,22.0,107.0,1.5,-
5,46.0,42.0,15.0,4.5,-,2.0,-,6.0,2.5,189.5,-,-
6,47.0,10.0,32.5,T,-,-,-,148.0,-,91.0,-,-
7,38.0,4.5,40.5,13.2,-,-,-,229.5,-,5.5,-,-
8,22.5,2.0,8.0,-,-,-,-,21.5,1.5,0.5,-,-
9,1.5,0.5,26.0,-,-,-,-,48.5,27.0,5.5,-,-
10,-,T,-,1.0,-,-,-,7.0,1.1,21.0,4.0,-
11,-,-,2.0,-,-,10.0,-,-,-,34.0,7.5,-
12,-,-,-,-,-,-,-,91.0,-,10.0,10.0,6.5
13,-,-,3.5,4.0,-,44.0,1.0,20.5,36.0,7.0,39.0,-
14,-,-,5.5,6.0,-,2.0,0.2,-,-,33.5,4.5,12.5
15,-,-,-,-,-,12.0,-,-,-,3.5,7.5,2.0
16,-,3.5,-,3.5,-,63.0,-,0.4,-,-,1.0,38.0
17,-,14.0,-,14.0,-,-,-,-,-,-,86.5,23.5
18,-,0.5,-,0.5,5.0,-,0.5,-,-,-,55.0,19.0
19,T,0.5,-,0.2,T,T,0.1,-,3.5,-,20.5,9.5
20,3.0,17.5,-,18.0,-,-,0.5,-,-,0.5,23.5,1.0
21,-,0.1,-,0.5,-,0.4,-,-,-,-,39.5,-
22,-,-,T,24.0,-,-,-,-,-,73.0,16.0,-
23,20.0,0.5,6.5,-,-,-,-,1.0,1.5,97.0,22.0,-
24,2.5,-,29.5,-,2.5,2.0,-,-,3.0,50.0,0.5,-
25,T,-,-,6.5,-,3.5,8.5,-,0.5,2.5,4.5,4.0
26,12.0,-,-,6.5,2.5,0.6,20.0,-,4.2,-,1.0,4.5
27,12.5,-,4.0,-,3.5,1.0,0.5,-,19.5,-,0.5,11.1
28,5.0,4.5,3.5,-,-,-,-,-,201.5,-,24.5,10.0
29,T,,20.0,-,-,-,0.5,-,91.5,T,4.5,0.5
30,4.5,,3.5,-,-,-,-,8.5,8.5,2.1,6.5,5.5
31,0.5,,-,,-,,-,0.5,,-,,0.5
總和值,228.0,127.6,203.5,109.9,20.0,280.5,38.8,587.9,478.8,774.1,404.0,150.1
1,-,-,-,-,-,-,-,-,0.5,148.5,-,1.7
2,6.0,T,1.0,8.0,-,11.5,-,-,-,-,5.0,-
3,7.5,0.5,-,12.0,-,38.5,-,-,-,14.0,7.5,-
4,-,0.2,-,2.0,-,6.0,-,-,-,T,15.5,T
5,4.5,-,-,-,T,35.5,-,T,13.7,-,15.0,-
6,21.5,6.5,-,15.5,11.0,8.0,-,2.0,-,-,28.0,-
7,34.0,7.0,-,8.0,18.5,-,-,30.5,7.0,-,25.2,0.5
8,32.0,-,1.0,51.5,0.5,-,-,33.0,-,9.7,-,-
9,1.0,-,24.0,0.5,3.5,1.0,-,9.5,1.5,1.5,-,-
10,6.5,-,T,-,11.7,71.1,-,-,2.5,2.0,-,-
11,14.5,-,-,0.1,0.5,31.5,-,-,0.7,-,-,-
12,9.5,3.0,-,-,-,23.6,-,2.0,-,-,-,-
13,-,17.5,19.0,11.0,-,102.2,-,-,-,-,9.5,-
14,-,1.0,-,1.5,-,29.7,-,-,-,2.0,7.0,16.5
15,-,16.5,-,13.0,T,6.0,0.5,-,-,16.7,51.0,48.5
16,9.5,49.0,1.8,0.5,-,0.5,-,10.5,-,21.5,19.2,62.5
17,2.0,49.0,0.5,-,0.5,7.0,-,-,-,12.0,10.0,-
18,-,37.5,-,14.6,-,-,-,-,8.5,66.5,7.5,-
19,-,42.5,-,-,-,-,-,-,86.0,88.5,7.5,-
20,-,1.0,-,-,7.5,-,0.5,5.5,3.0,156.5,7.0,-
21,3.0,-,-,-,-,7.0,-,3.3,-,409.5,1.0,-
22,17.5,1.0,-,-,-,18.5,-,-,-,103.0,8.5,-
23,15.5,-,-,14.5,45.0,7.5,-,0.5,83.5,-,6.5,-
24,5.5,-,0.5,4.5,-,2.0,3.1,-,88.0,-,T,39.5
25,25.5,-,5.5,-,-,10.0,0.1,-,T,88.5,49.0,46.0
26,3.0,-,-,7.0,-,27.0,1.5,-,-,89.5,-,8.0
27,-,-,-,8.5,14.5,10.5,0.5,-,0.1,37.0,-,-
28,5.0,-,0.5,2.5,T,T,5.0,-,10.0,47.5,-,-
29,1.0,,0.5,-,44.5,0.5,1.0,0.5,2.0,1.0,-,-
30,-,,-,1.5,9.0,-,7.5,263.5,145.5,4.0,1.0,1.0
31,-,,-,,-,,-,103.5,,T,,-
總和值,224.5,232.2,54.3,176.7,166.7,455.1,19.7,464.3,452.5,1319.4,280.9,224.2
1,-,-,T,-,0.5,4.6,-,-,0.5,112.5,29.0,53.5
2,-,4.2,1.6,-,1.5,11.2,-,-,0.5,167.5,T,6.0
