Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,0.1,-,-
2,-,-,-,-,-,-,-,-,10.0,-,-,-
3,-,-,-,-,-,6.4,1.2,22.0,-,-,-,-
4,-,-,-,-,1.0,150.7,9.3,165.8,-,-,-,-
5,-,-,7.2,0.7,-,1.1,-,56.8,-,6.4,-,-
6,-,-,49.1,0.6,-,-,-,124.5,-,5.9,-,-
7,-,-,38.8,4.7,-,-,-,17.0,-,-,-,1.0
8,-,-,8.5,-,-,-,-,25.3,-,-,-,-
9,-,-,8.7,-,-,-,-,347.4,-,-,-,-
10,-,-,-,-,-,-,-,17.5,-,-,8.0,-
11,-,-,-,-,-,69.4,-,2.7,-,-,-,-
12,-,-,-,-,-,35.6,-,0.4,-,-,-,-
13,-,-,-,81.5,-,49.2,2.9,0.4,-,-,8.0,-
14,-,-,0.7,2.8,-,24.3,20.6,-,0.9,-,-,-
15,-,-,-,-,-,-,-,T,55.4,-,-,-
16,-,-,-,3.1,-,-,-,-,-,-,-,0.5
17,-,-,-,9.0,-,-,-,-,-,-,-,0.2
18,-,-,-,-,-,1.3,-,-,-,-,-,-
19,-,-,-,0.1,-,1.8,37.8,-,-,-,-,-
20,-,12.5,-,90.7,-,27.5,1.0,-,-,-,-,-
21,-,-,-,64.4,2.2,9.2,-,-,-,-,-,-
22,-,-,-,16.8,-,39.5,T,-,-,-,-,-
23,-,-,5.6,-,-,0.7,-,-,-,-,-,-
24,T,-,13.0,-,0.2,-,2.1,5.4,-,-,-,0.2
25,-,-,-,-,-,-,1.9,-,-,-,-,6.3
26,-,-,-,27.5,T,4.8,6.7,-,-,-,-,-
27,-,-,-,1.1,16.9,-,-,-,4.6,-,-,1.1
28,-,-,-,-,0.2,-,-,-,T,-,-,4.8
29,-,,29.3,-,-,-,-,3.4,2.9,-,-,T
30,-,,-,-,-,-,-,22.2,45.9,-,-,3.1
31,-,,0.3,,-,,-,-,,-,,0.4
總和值,T,12.5,161.2,303.0,20.5,421.5,83.5,810.8,119.7,12.4,16.0,17.6
1,-,-,-,-,-,-,-,-,4.3,-,-,-
2,4.1,-,-,2.7,-,9.2,-,0.1,5.5,-,-,-
3,7.4,-,-,0.9,-,2.7,-,-,-,-,-,-
4,-,-,-,-,-,0.3,-,4.6,44.6,-,3.4,-
5,-,-,-,7.6,-,-,-,11.9,-,-,1.3,-
6,4.1,9.1,-,10.4,0.2,-,2.8,-,-,-,0.2,-
7,2.0,3.6,-,-,0.9,-,-,-,1.5,-,-,-
8,8.7,-,-,43.6,0.8,-,-,-,54.6,0.5,-,-
9,-,-,7.6,13.4,2.7,0.7,-,2.4,12.5,-,-,-
10,-,-,-,-,T,53.2,-,-,2.3,-,-,-
11,0.2,-,-,-,-,56.1,-,24.2,56.5,-,-,-
12,1.6,11.5,-,-,-,21.6,13.5,5.6,7.4,-,0.7,-
13,-,7.7,5.6,-,-,80.1,38.5,-,-,-,13.4,-
14,-,-,-,-,-,117.6,-,7.4,-,-,1.2,T
15,-,1.0,-,16.8,2.9,9.2,0.6,17.8,-,-,-,5.5
16,-,13.2,-,1.8,-,-,-,-,-,-,-,20.9
17,-,21.8,-,-,-,-,1.3,7.4,-,-,-,-
