Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,1.0,T,-,-,-,-,-,5.5,2.4,-
2,-,-,2.0,-,-,0.5,9.5,-,36.1,T,-,-
3,0.1,-,1.5,-,T,T,1.5,1.6,23.7,2.0,0.3,0.2
4,T,1.5,T,-,1.5,154.5,T,6.2,7.5,9.2,-,-
5,3.1,1.8,12.7,3.8,-,12.0,12.5,0.4,-,97.5,-,-
6,16.3,0.1,28.1,0.8,-,-,-,66.0,-,5.5,-,-
7,6.2,1.2,30.1,12.5,-,-,-,49.5,-,0.5,-,0.5
8,1.0,0.5,18.2,3.5,-,-,-,10.5,-,0.4,-,-
9,-,-,30.6,-,-,-,-,29.0,-,-,-,-
10,-,-,-,0.7,-,-,-,2.5,T,1.1,1.5,-
11,-,-,2.2,-,-,2.5,-,-,-,0.5,-,0.1
12,-,-,0.1,-,-,T,-,114.7,-,1.4,4.2,6.6
13,-,-,2.0,8.0,-,35.1,0.4,40.5,4.0,T,21.0,-
14,-,-,3.7,8.3,-,2.3,3.3,-,-,0.4,-,1.4
15,-,-,-,T,-,40.5,-,-,2.0,-,1.3,-
16,-,-,-,4.4,-,5.2,-,-,-,-,6.0,8.5
17,-,T,-,19.1,-,-,-,T,-,-,6.1,13.0
18,-,-,-,-,-,-,0.1,0.1,-,-,6.0,3.6
19,-,-,-,T,0.2,-,-,-,0.3,-,T,1.0
20,1.8,24.0,-,18.5,-,-,-,-,-,T,2.4,T
21,-,-,-,11.0,0.1,0.1,-,-,-,-,T,-
22,T,-,2.0,14.2,-,T,-,0.1,-,8.3,0.6,-
23,1.0,-,4.0,-,0.4,0.1,-,0.2,-,56.5,1.2,-
24,0.2,-,17.7,-,-,0.1,-,-,-,7.0,0.1,-
25,0.1,-,0.5,11.9,-,4.9,101.0,-,-,0.2,T,0.5
26,0.4,2.2,-,4.0,8.0,3.0,0.9,-,0.3,-,-,-
27,0.1,-,0.9,-,14.5,16.0,0.2,-,9.0,-,-,10.0
28,0.7,1.5,6.9,-,T,-,11.5,-,43.1,-,0.6,10.5
29,-,,27.8,-,-,-,-,-,82.0,-,-,0.7
30,5.1,,T,-,-,-,-,T,2.5,T,-,6.5
31,-,,T,,-,,-,-,,-,,0.6
總和值,36.1,32.8,192.0,120.7,24.7,276.8,140.9,321.3,210.5,196.0,53.7,63.7
1,-,-,-,-,-,-,-,-,T,17.5,-,-
2,4.5,T,4.2,5.0,-,10.1,-,-,T,-,T,-
3,9.0,2.1,-,5.5,-,35.5,-,-,-,3.0,T,-
4,-,2.0,-,0.5,-,4.5,-,-,-,-,1.0,-
5,0.2,T,-,8.0,T,4.5,-,-,1.0,-,5.5,-
6,5.5,7.0,T,14.6,28.6,0.3,-,1.0,T,-,10.5,-
7,19.0,9.7,T,3.0,15.3,-,-,40.0,1.2,-,2.0,-
8,24.0,-,3.0,35.2,-,-,-,5.0,-,1.4,-,-
9,T,-,24.0,1.0,1.6,0.1,-,5.0,0.7,T,-,-
10,1.9,-,-,-,17.0,40.4,-,-,0.5,0.8,-,T
11,4.4,T,-,T,1.0,11.1,-,0.2,3.5,8.0,-,-
12,7.0,T,-,-,1.5,11.4,T,60.5,0.5,-,T,-
13,-,21.3,24.6,0.5,0.1,44.3,22.0,-,-,-,9.0,-
14,-,0.2,-,T,0.3,23.0,0.5,19.0,18.5,7.6,0.5,0.3
15,-,15.4,T,5.4,T,3.0,19.5,-,-,0.1,2.0,11.5
16,0.2,41.0,-,1.0,-,0.5,-,67.3,-,0.1,5.0,29.1
17,-,48.0,-,-,-,3.5,-,-,-,T,T,-
18,-,34.2,-,8.0,-,-,-,-,7.7,14.8,0.2,-
19,-,49.5,-,-,-,-,-,-,64.6,48.0,49.1,-
20,-,2.0,T,-,2.5,-,6.5,-,1.0,81.5,4.0,-
21,-,-,-,-,-,104.0,-,-,-,115.0,-,-
22,4.0,0.2,-,T,T,8.0,-,-,-,31.0,3.0,-
