Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,6.5,5.0,0.2,-,-,-,-
4,-,-,-,-,-,22.5,2.5,-,-,0.3,-,-
5,-,-,-,-,-,-,T,4.5,13.5,15.5,-,-
6,-,-,20.1,-,-,-,T,11.0,-,-,-,-
7,-,-,13.5,-,-,-,-,101.5,-,-,-,-
8,-,-,-,-,-,-,-,523.5,-,-,-,-
9,-,-,-,-,-,-,-,100.5,-,-,-,-
10,-,-,-,-,-,-,-,12.0,T,-,-,-
11,-,-,-,-,-,4.0,-,3.0,-,-,-,-
12,-,-,-,-,-,22.5,-,8.5,-,-,-,-
13,-,-,-,-,-,64.5,42.0,0.2,-,-,3.0,-
14,-,-,-,-,-,-,9.5,-,-,-,-,-
15,-,-,-,-,-,-,26.0,-,-,-,1.0,-
16,-,-,-,16.0,-,27.0,-,1.0,-,-,-,-
17,-,-,-,19.0,-,-,T,-,1.5,-,-,1.0
18,-,-,-,-,-,14.0,2.5,-,-,-,-,-
19,-,T,-,-,-,4.5,-,-,-,-,-,-
20,-,5.5,-,-,-,3.0,-,-,-,-,-,-
21,-,-,-,0.5,-,95.0,-,-,-,-,-,-
22,-,-,-,36.5,-,-,-,-,-,-,-,-
23,-,-,-,-,-,6.5,-,-,-,-,-,-
24,-,-,-,-,-,-,1.0,-,-,-,-,-
25,-,-,-,-,-,2.0,50.5,-,-,-,-,-
26,-,-,-,4.0,-,-,-,-,-,-,-,-
27,-,-,-,-,5.4,-,-,-,3.5,-,-,-
28,-,-,-,-,0.1,-,-,-,0.5,-,-,1.0
29,-,,5.5,-,-,-,-,-,0.5,-,-,-
30,-,,-,-,0.3,-,0.5,-,20.0,-,-,-
31,-,,-,,-,,-,T,,-,,1.5
總和值,-,5.5,39.1,76.0,5.8,272.0,139.5,765.9,39.5,15.8,4.0,3.5
1,-,-,-,-,-,-,-,0.5,86.5,-,-,-
2,6.0,-,-,-,-,0.5,-,0.5,4.0,-,-,-
3,1.5,-,-,-,-,8.5,-,-,-,-,-,-
4,-,-,-,-,-,-,T,-,9.5,-,13.5,-
5,-,-,-,-,-,-,6.4,7.5,2.5,-,8.0,-
6,-,-,-,T,-,-,-,-,2.0,2.5,-,-
7,-,-,-,2.0,-,-,-,-,1.5,-,-,-
8,4.0,-,-,0.1,-,-,-,4.5,-,-,-,-
9,-,-,0.3,-,-,-,-,-,89.5,-,-,-
10,-,-,-,-,-,2.5,-,3.5,12.5,-,-,-
11,-,-,-,-,-,8.0,-,7.5,-,-,-,-
12,T,11.0,-,-,-,1.0,-,0.5,4.0,-,T,-
13,-,-,-,-,-,97.5,T,-,-,-,32.5,-
14,-,-,-,-,-,32.5,46.0,-,-,-,-,-
15,-,1.5,-,1.0,-,12.5,29.0,63.0,-,-,-,-
16,-,2.0,-,T,-,-,8.0,-,-,-,-,14.5
17,-,1.5,-,-,-,-,29.0,15.0,15.0,-,-,-
18,-,2.0,-,0.4,-,-,-,-,-,-,-,-
19,-,14.0,-,-,-,-,-,1.0,160.0,-,-,-
20,-,-,-,-,-,-,-,5.5,72.0,-,-,-
21,-,-,-,-,-,-,82.5,-,-,13.5,-,-
22,-,-,-,-,-,-,T,-,-,15.0,-,-
23,-,-,-,20.5,72.0,7.9,-,7.0,-,38.0,-,-
24,-,-,-,T,T,37.5,14.5,30.5,-,-,-,-
25,-,-,-,-,-,63.0,-,2.0,-,-,-,-
