Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,-,-,-
2,-,1.0,-,-,1.4,0.8,-,0.3,-,-,-,-
3,-,-,-,0.1,-,-,0.2,42.4,-,-,-,-
4,0.5,7.5,-,-,-,1.6,-,-,-,31.5,-,-
5,10.6,2.9,-,-,-,9.5,28.0,-,-,67.0,-,-
6,-,1.5,10.6,-,-,-,-,T,-,26.5,-,-
7,-,3.0,25.4,-,-,-,-,42.8,-,-,40.5,0.5
8,-,3.5,T,0.1,-,-,-,68.0,-,-,-,0.5
9,-,-,1.7,-,-,-,-,29.5,-,4.1,-,-
10,-,-,-,-,-,-,2.3,-,0.3,18.0,-,-
11,-,-,0.6,-,-,-,4.8,-,-,4.0,-,-
12,-,2.1,2.5,0.4,-,-,-,-,-,T,-,-
13,-,0.5,1.0,-,-,-,163.0,-,32.3,2.0,0.4,-
14,-,-,-,0.2,-,5.5,85.5,-,4.5,1.2,0.5,-
15,-,-,-,0.7,-,13.0,0.5,0.5,-,0.7,-,-
16,-,-,-,13.6,T,9.5,-,-,-,-,-,0.4
17,1.6,-,-,2.2,69.5,-,60.0,-,15.0,-,-,0.2
18,-,11.3,-,0.5,1.1,T,36.4,-,10.2,-,-,-
19,-,23.1,-,2.9,-,-,18.5,-,1.5,-,-,-
20,-,-,-,-,-,14.3,11.5,-,-,-,-,-
21,-,-,-,38.0,-,29.9,-,-,-,-,-,-
22,-,-,-,1.4,-,0.3,-,-,8.5,-,-,-
23,-,-,0.5,0.1,-,-,-,0.3,3.6,0.2,-,-
24,-,-,0.3,-,0.5,-,-,0.2,0.7,-,2.6,0.2
25,-,T,-,-,-,8.1,-,-,0.6,-,-,7.3
26,0.5,9.0,-,-,-,7.0,-,-,16.1,-,-,-
27,-,0.4,T,-,5.5,0.3,-,-,58.5,-,-,-
28,-,-,-,-,0.4,-,-,-,55.1,-,-,-
29,-,,4.7,-,-,-,1.4,-,3.6,-,-,-
30,-,,-,-,-,-,-,T,0.2,-,-,0.6
31,-,,-,,-,,-,-,,-,,0.5
總和值,13.2,65.8,47.3,60.2,78.4,99.8,412.1,184.0,210.7,155.2,44.0,10.2
1,-,-,-,-,-,-,-,-,100.0,-,-,0.1
2,T,-,-,-,-,-,-,-,44.5,-,-,-
3,3.4,-,-,-,7.4,13.6,-,-,38.0,13.0,-,7.9
4,-,-,-,-,0.5,-,-,-,-,0.3,0.1,-
5,-,0.4,-,T,0.6,13.9,-,-,-,-,2.4,-
6,-,-,-,-,-,-,-,0.7,-,32.7,2.5,0.3
7,-,-,-,0.2,-,-,-,0.1,3.0,23.0,-,-
8,0.3,0.2,-,0.4,3.4,1.6,-,-,119.0,36.1,1.0,-
9,-,-,0.3,-,-,0.7,-,-,227.0,2.5,-,-
10,1.0,-,-,-,-,2.0,-,-,25.5,T,-,-
11,-,-,-,-,T,1.5,0.1,-,2.4,-,-,-
12,1.0,0.6,-,-,0.6,4.8,13.5,-,-,4.9,0.5,T
13,-,-,-,1.0,T,13.3,-,-,-,1.6,39.0,-
14,-,-,-,-,-,0.9,9.1,-,28.5,-,0.5,0.3
15,-,-,28.0,1.4,-,-,23.5,8.0,-,-,1.1,-
16,0.9,2.2,6.5,-,16.5,-,1.0,6.2,-,129.0,0.6,3.5
17,0.4,2.2,-,0.5,0.5,-,0.9,35.5,-,61.0,-,-
18,1.5,2.4,-,1.3,-,-,-,24.7,-,26.5,-,-
19,3.7,4.3,12.5,19.9,-,-,-,-,115.1,12.5,-,-
20,-,0.2,-,T,-,-,0.5,-,75.1,3.2,-,-
21,4.9,-,0.2,-,-,-,24.0,-,0.2,83.0,-,-
