Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,0.5,-,6.0,-,-,-,-,-,-,-
2,-,-,3.0,1.5,8.5,-,-,2.0,0.9,-,-,-
3,-,-,1.5,-,-,2.5,1.3,-,1.0,5.1,-,-
4,0.1,-,T,-,0.5,81.5,-,0.1,-,58.5,-,-
5,43.0,T,0.5,2.0,-,1.5,-,9.1,-,330.0,-,-
6,2.5,17.0,32.1,0.5,-,-,-,3.5,-,120.0,-,-
7,-,10.0,15.0,-,-,-,-,59.0,6.5,-,4.5,-
8,-,T,0.6,2.0,-,-,-,57.0,T,-,4.5,-
9,-,1.0,5.5,-,-,-,-,27.0,29.0,4.0,-,-
10,-,15.5,-,-,-,-,0.1,0.5,-,140.0,-,-
11,-,-,-,T,-,64.5,-,-,-,136.5,1.5,-
12,-,-,2.2,-,-,-,-,-,1.5,145.5,T,-
13,-,-,-,1.0,-,3.6,83.0,-,23.7,79.0,11.5,0.2
14,-,-,-,12.0,-,88.0,15.0,-,-,5.0,-,-
15,-,-,-,-,-,3.5,-,-,-,2.0,0.5,2.7
16,-,0.5,-,6.0,-,-,-,-,20.0,1.0,0.2,2.6
17,-,-,-,4.5,T,-,28.5,-,-,3.5,0.5,10.0
18,-,11.0,-,4.1,-,0.5,43.5,-,-,-,-,1.5
19,-,4.0,-,-,0.5,T,2.0,-,2.0,2.0,-,-
20,-,2.2,-,-,-,-,-,-,-,-,-,0.6
21,0.9,-,-,6.7,13.6,74.5,-,-,-,-,-,-
22,0.1,-,-,10.0,-,-,-,-,1.5,-,2.0,-
23,2.5,-,3.1,1.0,14.6,-,-,-,3.6,-,0.1,-
24,1.0,-,17.5,-,73.0,-,-,0.1,2.6,0.5,-,2.0
25,-,T,1.0,1.0,23.0,-,-,-,-,-,-,1.5
26,0.5,14.5,-,-,-,-,0.7,-,3.5,-,1.5,-
27,-,4.0,-,-,1.5,-,8.5,-,120.5,-,11.0,0.5
28,-,12.5,0.6,-,0.3,-,16.0,-,33.0,-,-,5.0
29,-,,9.0,3.6,-,-,-,-,61.0,-,-,-
30,-,,0.7,0.5,-,-,-,0.5,15.5,T,0.3,0.5
31,-,,T,,-,,-,-,,-,,1.0
總和值,50.6,92.2,92.8,56.4,141.5,320.1,198.6,158.8,325.8,1032.6,38.1,28.1
1,-,0.5,-,-,0.5,-,-,-,67.0,-,-,0.1
2,3.0,0.5,-,0.1,2.3,1.0,-,-,4.5,-,5.5,2.0
3,4.2,-,-,-,30.0,6.5,-,-,5.5,0.3,-,-
4,6.0,-,-,0.1,6.5,0.5,-,0.2,-,-,9.5,0.3
5,0.5,-,-,11.5,-,4.5,-,0.2,0.1,-,17.0,-
6,0.2,5.0,-,4.5,0.5,-,-,7.0,-,4.7,14.0,-
7,7.5,6.0,-,1.0,-,-,-,21.0,8.1,24.5,3.7,-
8,10.0,9.5,-,8.0,T,0.2,-,-,5.5,14.0,-,-
