Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,-,-,-,0.5,-,-
2,-,-,2.5,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,3.0,-,26.0,-,-,-,-
4,-,-,1.0,-,0.5,95.0,-,17.0,-,-,-,-
5,-,-,22.5,0.5,-,1.0,-,30.5,-,6.5,-,-
6,-,-,41.5,-,-,-,-,168.0,-,7.0,-,-
7,-,-,43.5,17.5,-,-,-,49.0,-,-,-,-
8,0.5,-,15.5,-,-,-,-,65.0,-,-,-,-
9,-,-,34.0,-,-,-,-,229.0,-,-,-,-
10,-,-,-,-,-,-,-,44.5,-,-,9.5,-
11,-,-,-,-,-,20.5,-,1.5,-,-,-,-
12,-,-,-,-,-,11.0,-,2.5,-,-,-,-
13,-,-,0.5,9.0,-,105.0,9.5,1.0,-,-,27.0,-
14,-,-,4.0,1.5,-,9.0,2.0,-,-,-,0.5,-
15,-,-,-,-,-,-,-,-,-,-,1.0,-
16,-,-,-,4.5,-,-,-,-,-,-,-,2.5
17,-,-,-,-,-,-,-,-,-,-,2.0,-
18,-,0.5,-,1.0,-,-,-,-,-,-,-,-
19,-,0.5,-,-,-,13.0,27.0,-,-,-,-,-
20,-,21.0,-,116.0,-,0.5,0.5,-,-,-,2.0,-
21,-,-,-,29.5,-,10.0,-,-,-,-,-,-
22,-,-,4.5,4.0,-,12.0,-,-,-,-,2.0,-
23,-,-,3.5,-,-,0.5,-,7.5,-,-,-,-
24,-,-,14.5,-,-,-,1.0,-,-,-,0.5,-
25,-,-,-,8.5,-,-,1.5,-,-,-,-,0.5
26,-,0.5,-,18.0,-,-,-,-,-,-,-,-
27,-,-,0.5,-,14.0,-,-,-,4.0,-,-,9.0
28,1.0,-,-,-,-,-,1.5,-,-,-,-,9.0
29,-,,29.0,-,-,-,-,14.0,4.0,-,-,0.5
30,1.0,,-,-,-,-,-,27.5,1.5,-,-,5.5
31,-,,-,,-,,-,-,,-,,0.5
總和值,2.5,22.5,217.0,210.0,14.5,280.5,43.0,683.0,9.5,14.0,44.5,27.5
1,-,-,-,-,-,-,-,-,1.5,-,-,-
2,13.0,-,1.0,3.0,-,44.5,-,-,-,-,-,-
3,6.5,-,-,1.0,-,20.0,-,-,-,-,-,-
4,-,1.0,-,0.5,-,1.0,-,-,2.5,-,2.0,-
5,-,3.5,-,3.5,-,-,-,-,-,-,2.5,-
6,7.0,18.5,-,7.0,-,-,-,-,-,-,2.5,-
7,3.5,13.0,-,0.5,40.5,-,-,-,2.5,-,0.5,-
8,9.0,-,-,60.0,-,-,-,-,9.5,-,-,-
9,-,-,35.0,10.0,-,-,-,-,8.0,-,-,-
10,-,-,-,-,13.0,102.0,-,-,-,-,-,-
11,0.5,-,-,-,0.5,74.0,-,-,73.5,-,-,-
12,1.5,7.0,-,-,-,36.5,-,-,2.5,-,-,-
13,-,37.0,14.5,-,-,56.5,21.0,-,0.5,-,8.5,-
14,-,1.5,-,-,-,58.5,-,-,2.0,-,1.5,-
15,-,11.0,-,15.5,4.5,4.0,0.5,2.0,-,-,-,4.0
16,-,33.0,-,2.0,0.5,-,-,1.5,-,-,0.5,48.0
17,-,31.5,-,-,-,-,-,5.0,-,-,-,-
18,-,25.0,-,0.5,-,-,-,0.5,20.0,-,-,-
19,-,35.0,-,-,-,-,-,-,95.5,-,0.5,-
20,-,1.0,-,-,-,-,2.0,-,37.0,0.5,-,-
21,-,-,-,-,-,5.5,-,-,-,9.5,-,-
22,1.0,1.0,-,-,-,3.5,5.0,14.5,-,-,-,-
23,-,-,-,23.0,84.5,2.5,-,-,-,0.5,-,-
24,0.5,-,-,0.5,0.5,38.0,-,-,-,-,-,-
25,9.5,2.5,8.5,-,-,23.0,10.5,25.0,-,-,1.0,1.5
26,-,-,-,1.0,-,-,29.0,22.5,-,-,-,1.0
27,-,-,-,2.5,-,9.5,38.0,-,-,0.5,-,-
28,-,-,-,2.5,8.5,5.5,28.5,-,-,1.0,-,-
29,-,,-,-,72.5,-,-,-,-,-,-,-
30,-,,-,4.0,10.5,-,-,11.5,-,-,-,-
31,-,,-,,-,,-,19.0,,-,,-
總和值,52.0,221.5,59.0,137.0,235.5,484.5,134.5,101.5,255.0,12.0,19.5,54.5
1,-,-,-,-,0.5,-,,,,,-,-
2,-,-,-,-,0.5,1.0,,,,,-,-
3,0.5,-,-,-,0.5,-,,,,,-,-
4,-,-,-,-,3.5,-,,,,,-,-
5,3.0,-,-,-,4.0,-,,,,,-,48.5
6,-,-,1.0,-,-,-,,,,,-,1.0
7,-,-,19.5,-,-,-,,,,,1.0,0.5
8,-,-,-,-,-,-,,,,,5.5,-
9,0.5,-,-,-,-,-,,,,,47.5,1.0
10,1.5,-,1.0,-,-,11.0,,,,,40.0,-
11,13.5,-,1.0,-,-,-,,,,,39.5,-
12,25.5,-,1.0,-,11.0,-,,,,,-,-
13,1.5,10.0,-,-,10.5,-,,,,,-,-
14,0.5,7.5,-,-,49.0,,,,,,-,1.5
