Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,8.2,6.7,3.3,-,-,-,5.6,0.2,11.3,T
2,-,14.0,0.3,0.2,0.5,-,-,6.9,64.0,25.0,1.8,T
3,0.2,-,14.5,-,-,1.4,0.4,0.2,1.3,18.0,7.4,1.2
4,0.2,-,0.5,-,7.8,120.5,T,24.1,19.4,53.8,-,-
5,100.1,51.9,0.7,1.5,-,2.0,-,0.4,-,308.7,-,0.4
6,4.7,123.8,39.6,0.4,-,-,-,46.0,-,39.9,-,0.4
7,16.0,62.5,17.2,0.6,-,-,-,34.8,-,4.8,0.5,14.4
8,18.6,93.2,1.0,-,-,-,-,32.0,-,1.8,3.9,0.4
9,1.8,0.7,1.0,-,-,-,0.3,3.4,27.5,40.0,-,-
10,-,14.3,-,-,-,-,0.9,-,109.0,140.0,-,-
11,-,-,10.9,0.2,-,31.6,-,-,-,158.3,10.8,91.5
12,3.9,17.6,17.3,11.2,-,8.1,3.0,-,-,230.2,35.9,101.5
13,-,-,1.6,5.0,0.4,38.0,88.7,-,24.9,221.6,10.8,T
14,-,-,-,3.9,T,13.6,-,0.1,T,103.5,0.6,69.5
15,11.0,-,-,-,-,T,-,-,-,26.0,0.4,1.2
16,1.4,9.8,-,17.9,-,0.7,-,-,-,6.8,-,13.8
17,7.3,34.3,-,52.3,-,-,16.8,-,-,-,31.4,20.9
18,-,10.8,-,4.9,2.1,-,21.8,-,-,-,19.5,31.5
19,0.2,5.1,-,6.9,2.0,-,T,-,0.1,-,39.6,3.1
20,7.5,2.0,-,2.3,-,0.2,-,-,-,0.2,0.5,-
21,0.2,0.1,-,4.9,8.3,9.4,-,-,-,T,25.9,-
22,7.0,-,4.3,26.5,-,-,-,-,1.5,26.2,23.8,-
23,22.6,-,5.0,0.9,2.4,-,-,0.1,24.3,160.9,30.2,-
24,9.8,-,6.1,-,44.1,-,-,0.5,36.7,35.9,0.3,T
25,0.8,21.1,-,1.1,8.4,2.2,7.0,-,-,-,44.6,1.8
26,5.9,21.8,-,0.9,5.0,-,-,-,5.2,-,8.1,7.4
27,62.3,5.6,-,-,7.3,2.7,-,-,31.4,-,0.2,3.3
28,1.0,19.4,-,-,T,-,0.9,-,148.0,0.2,7.1,13.7
29,0.2,,21.4,-,-,-,-,-,64.8,0.4,13.5,-
30,-,,0.8,2.1,-,-,-,-,54.7,27.0,8.1,3.5
31,-,,-,,-,,-,12.1,,3.1,,1.8
總和值,282.7,508.0,150.4,150.4,91.6,230.4,139.8,160.6,618.4,1632.5,336.2,381.3
1,-,1.5,-,-,-,-,0.1,-,10.8,2.7,-,1.7
2,0.7,3.2,0.2,13.8,1.6,7.0,-,-,0.9,-,15.0,-
3,5.6,1.4,3.1,4.2,-,14.7,-,-,T,43.0,52.7,0.3
4,-,0.2,-,-,0.1,1.6,-,-,T,0.2,14.4,-
5,28.2,-,-,7.0,0.7,12.6,-,8.8,-,0.1,39.6,-
6,40.6,8.0,-,3.9,0.5,-,-,11.2,-,2.1,3.0,T
7,49.8,2.8,0.5,1.3,-,-,-,69.4,7.6,19.8,155.0,0.1
8,24.0,0.5,0.1,15.2,-,-,-,10.7,0.9,14.1,-,-
9,9.7,-,5.3,4.8,-,0.5,0.2,0.5,7.1,2.6,-,-
10,2.3,-,-,-,0.5,44.1,-,-,7.3,11.7,-,-
11,5.0,0.5,-,0.6,9.7,3.0,T,-,0.9,0.2,-,4.4
12,6.4,1.6,-,-,-,4.2,-,-,-,-,6.9,0.9
13,-,5.4,4.7,31.3,0.3,5.2,-,-,-,-,20.0,-
14,-,0.1,1.3,14.6,0.5,5.0,-,-,0.1,2.8,45.9,58.3
15,-,0.9,2.0,2.6,1.7,2.1,T,0.3,-,8.5,84.1,157.5
16,18.0,29.6,1.6,0.9,1.9,T,-,-,T,111.2,94.5,26.7
17,23.9,29.6,0.5,-,0.2,1.3,-,0.1,-,10.6,112.4,-
18,-,16.5,-,10.0,-,-,-,-,1.1,23.4,29.0,-
19,1.4,20.2,2.4,-,-,-,-,-,64.9,125.3,7.4,-
20,-,2.4,0.1,-,0.2,-,-,1.8,3.9,250.9,92.8,-
21,28.3,-,2.6,50.1,-,2.9,-,4.3,-,939.5,3.4,-
22,22.5,-,0.5,1.8,-,7.2,-,-,-,242.5,21.5,T
23,56.3,-,-,7.4,7.0,23.9,T,5.2,149.1,13.9,16.0,-
