Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,2.7,-,13.5,3.1,-,-,-,-,0.4,-,2.0,0.6
2,3.0,1.5,13.5,1.5,31.0,4.0,-,25.0,-,-,-,0.5
3,-,-,2.0,-,T,-,-,16.4,-,16.0,1.5,0.6
4,4.5,-,-,-,3.5,0.9,-,-,-,80.1,1.0,-
5,5.5,-,49.5,37.3,10.9,37.0,-,-,-,-,17.0,1.4
6,38.0,0.6,17.0,0.8,-,0.1,-,1.0,2.8,150.0,10.5,-
7,3.9,-,5.5,0.5,-,-,-,63.0,-,-,-,5.5
8,0.5,-,8.5,2.9,-,-,0.5,69.8,-,-,-,0.5
9,0.3,-,1.0,0.1,-,6.0,7.0,7.6,-,34.0,-,1.5
10,-,0.5,0.5,-,-,1.7,15.0,5.0,-,32.5,-,-
11,-,0.5,-,-,-,21.0,7.5,2.1,8.5,76.5,-,-
12,1.5,-,-,-,-,2.5,6.0,-,0.4,1.5,-,-
13,3.7,-,4.5,-,-,0.4,43.5,-,23.0,-,13.0,0.5
14,-,-,1.0,14.5,-,-,4.6,1.0,-,39.5,19.5,4.5
15,-,-,-,0.3,-,0.3,3.0,21.0,-,25.5,1.0,-
16,-,-,-,90.5,-,2.2,4.5,5.5,0.8,-,1.1,8.5
17,-,7.0,-,8.5,0.2,18.0,45.0,-,-,-,0.5,4.5
18,-,25.0,6.6,1.5,2.6,-,-,-,-,-,3.4,2.5
19,-,8.0,-,-,-,-,-,-,4.5,-,3.0,8.5
20,-,3.5,-,-,-,0.5,9.0,-,0.8,-,8.5,11.0
21,-,2.0,3.7,2.5,-,5.5,-,-,-,-,0.5,0.5
22,-,3.5,-,2.5,0.1,-,-,-,0.8,-,0.8,-
23,-,-,-,21.5,3.7,-,-,49.0,76.0,7.0,9.0,5.0
24,0.4,-,17.8,22.5,18.7,17.5,-,11.0,9.9,9.0,1.5,7.5
25,3.0,-,25.0,1.0,-,3.0,-,9.0,3.0,-,0.5,30.5
26,-,-,-,-,-,-,-,-,33.9,-,-,9.5
27,1.5,-,2.5,-,15.8,-,-,-,94.1,-,-,-
28,-,28.5,1.5,-,1.1,-,-,0.4,125.3,-,-,0.8
29,-,,14.2,-,-,-,1.3,4.0,17.5,4.5,-,-
30,-,,5.6,-,-,-,-,-,6.2,-,2.5,3.0
31,-,,0.9,,-,,-,-,,12.5,,18.5
總和值,68.5,80.6,194.3,211.5,87.6,120.6,146.9,290.8,407.9,488.6,96.8,125.9
1,3.5,-,-,3.0,1.0,-,0.7,0.9,110.5,12.5,-,12.5
2,5.5,-,-,1.0,0.7,5.1,-,-,21.0,1.5,-,3.0
3,9.5,-,-,-,-,38.5,-,-,36.0,-,-,4.5
4,-,-,-,-,-,11.0,-,6.3,-,-,17.0,1.5
5,4.0,-,-,-,3.5,42.5,-,3.0,2.4,12.5,2.5,9.0
6,1.0,-,-,-,-,16.4,-,0.5,0.3,163.5,17.1,5.0
7,17.5,-,1.0,0.5,-,2.0,-,18.5,39.4,97.5,25.5,2.5
8,4.0,-,-,1.0,1.5,-,-,52.0,3.5,75.0,2.6,-
9,1.9,-,7.5,-,-,-,-,-,10.1,8.5,0.5,-
10,-,-,5.0,-,6.0,11.0,-,-,0.5,1.5,-,-
11,3.0,-,-,-,1.2,0.5,-,2.5,-,-,-,1.2
12,12.5,4.5,16.5,-,8.7,8.0,-,-,-,7.0,1.3,2.0
13,-,2.0,37.5,-,-,-,0.9,-,20.0,0.5,34.0,-
14,-,1.5,-,0.5,-,-,1.5,-,21.5,-,4.6,2.0
15,-,16.5,-,12.0,-,-,4.7,-,3.3,29.0,5.5,1.5
16,-,15.5,16.2,1.0,0.5,-,10.5,-,-,101.0,4.0,12.0
17,-,13.0,2.0,4.5,-,-,1.8,25.5,-,40.0,11.5,7.0
18,-,18.5,3.5,1.5,-,-,18.0,28.0,-,19.5,4.1,-
19,3.0,29.0,13.0,-,-,-,-,0.5,52.5,7.5,-,-
20,-,15.0,0.3,-,-,-,-,7.5,7.0,33.5,-,1.0
21,-,-,0.5,-,-,-,14.8,9.0,4.5,122.0,0.1,-
22,0.6,-,1.5,-,-,-,22.0,141.5,-,72.0,8.0,-
23,1.0,-,3.0,5.0,3.0,-,1.5,30.5,-,0.5,0.5,-
24,15.4,-,-,-,94.0,T,1.5,22.0,1.5,-,-,-
25,31.0,0.5,3.5,-,1.0,1.5,19.3,14.5,7.1,17.5,4.0,-
26,1.0,-,1.2,2.0,19.0,0.5,73.5,1.0,-,16.5,0.7,4.0
27,11.5,-,-,12.0,-,-,17.6,-,-,-,-,-
28,-,-,5.8,1.5,34.5,-,19.5,7.0,9.5,-,8.5,-
29,1.0,,-,2.0,5.0,-,-,13.0,13.4,-,0.5,-
30,0.5,,-,59.5,89.5,-,-,16.5,-,-,1.5,-
31,4.0,,-,,32.2,,-,6.0,,-,,-
總和值,131.4,116.0,118.0,107.0,301.3,137.0,207.8,406.2,364.0,839.0,154.0,68.7
1,-,1.5,4.4,-,-,100.5,2.0,2.4,0.6,25.0,18.3,60.0
2,13.8,3.0,6.9,-,-,6.0,-,-,1.0,38.5,20.8,45.5
3,6.5,2.5,0.5,-,-,-,-,-,2.2,1.5,3.4,0.5
4,11.2,1.5,1.8,1.0,-,-,-,-,-,1.5,-,-
5,31.7,-,0.7,1.5,-,-,-,-,-,1.5,-,7.3
