Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,T,-,-,15.5,-,T,5.5,T,97.5,-,-,-
2,T,-,-,-,-,T,2.0,-,1.5,-,-,-
3,T,-,-,-,-,-,1.0,-,T,-,-,-
4,T,0.5,-,T,-,T,6.5,-,163.0,-,-,2.5
5,-,32.0,-,10.0,T,-,-,-,25.0,T,-,-
6,-,8.0,-,7.0,29.0,-,-,-,42.0,T,-,T
7,-,-,-,4.5,17.5,T,-,-,2.5,5.0,-,-
8,0.5,T,-,-,3.5,T,-,1.5,T,T,-,-
9,2.0,2.0,-,-,-,16.5,-,-,1.5,3.5,-,-
10,1.0,T,-,-,-,78.5,-,9.5,-,-,-,-
11,T,0.5,-,-,T,2.5,-,2.0,-,-,-,-
12,T,-,-,-,T,-,-,10.0,-,-,-,-
13,6.5,-,-,-,T,-,-,T,-,-,-,-
14,0.5,T,-,-,T,5.5,-,-,-,-,-,-
15,T,-,-,-,-,T,-,-,-,-,-,T
16,-,-,-,-,T,18.0,T,5.5,-,-,-,T
17,-,-,-,-,9.0,6.0,2.5,0.5,-,-,-,-
18,-,-,-,33.0,-,-,2.5,T,-,-,-,-
19,-,-,T,23.0,4.5,-,0.5,3.5,-,T,-,-
20,-,-,-,T,T,-,-,111.0,-,T,-,-
21,1.5,-,-,-,T,-,-,-,-,T,-,-
22,3.0,-,-,-,3.0,-,-,0.5,-,T,-,-
23,-,-,-,T,12.5,-,-,0.5,-,-,-,-
24,T,-,7.5,0.5,-,1.0,-,-,-,-,-,-
25,-,-,29.0,5.5,T,T,-,-,-,-,-,-
26,-,-,8.0,T,-,-,-,-,-,-,-,-
27,-,-,2.0,-,-,-,-,T,-,3.5,-,T
28,-,-,2.0,-,-,-,108.5,-,-,T,-,T
29,-,,9.5,-,-,0.5,26.0,T,-,-,1.5,-
30,-,,1.5,-,-,0.5,0.5,-,-,-,-,T
31,-,,6.5,,-,,1.0,45.5,,-,,T
總和值,15.0,43.0,66.0,99.0,79.0,129.0,156.5,190.0,333.0,12.0,1.5,2.5
1,-,-,-,-,-,-,-,-,15.9,-,-,-
2,13.5,-,T,6.0,-,21.4,-,-,19.1,-,-,-
3,2.2,-,-,-,-,29.3,-,-,8.1,0.5,-,-
4,-,-,-,T,-,T,-,-,-,-,0.2,-
5,-,-,-,2.5,14.8,-,-,-,-,-,6.5,-
6,7.2,14.7,T,9.0,31.7,-,-,-,-,-,7.3,-
7,1.1,15.7,2.4,0.1,9.1,-,-,-,-,-,0.2,-
8,0.7,0.2,2.8,41.0,-,-,-,-,-,0.2,-,-
9,-,-,10.2,-,1.5,1.2,-,-,6.9,1.6,-,-
10,-,-,-,0.4,2.1,24.6,-,-,20.6,-,-,-
11,0.8,T,-,0.5,-,12.6,-,-,0.3,-,-,-
12,0.1,1.4,3.1,1.5,-,0.2,-,-,-,-,-,-
13,-,26.1,12.8,0.1,-,2.2,-,-,-,-,-,-
14,-,3.4,0.4,0.1,-,5.3,-,-,-,-,-,-
15,-,1.7,-,7.7,7.8,61.0,-,-,-,-,-,15.1
16,-,6.3,-,-,-,0.9,-,-,-,-,-,18.4
17,-,8.9,-,-,-,1.3,-,-,0.8,-,-,-
18,-,6.8,-,19.7,-,-,-,-,1.6,-,-,-
19,-,4.5,-,1.0,1.6,-,-,-,T,-,-,-
20,-,-,-,-,4.3,-,-,-,49.0,T,-,-
21,T,-,-,-,-,-,-,-,0.5,1.3,-,-
22,-,5.6,-,19.0,41.2,5.5,2.6,-,1.5,13.4,-,-
23,T,-,-,2.7,47.5,3.3,-,-,3.7,110.5,-,-
24,T,0.5,-,-,-,3.7,-,0.5,2.5,2.1,-,-
25,T,-,9.7,-,-,6.0,-,-,-,T,-,0.6
26,-,-,-,2.3,-,8.9,T,-,-,-,-,-
27,-,0.1,-,2.1,11.0,-,1.8,-,-,-,-,-
28,-,-,-,-,2.7,-,-,-,T,-,-,-
29,-,,-,1.4,3.2,-,-,-,-,-,-,-
30,-,,-,0.9,4.6,-,-,0.7,-,-,-,-
31,-,,-,,-,,-,7.2,,-,,-
總和值,25.6,95.9,41.4,118.0,183.1,187.4,4.4,8.4,130.5,129.6,14.2,34.1
1,-,-,-,-,2.0,13.5,-,-,6.2,-,-,-
2,-,-,-,-,6.5,2.7,-,-,30.6,T,-,-
3,T,-,-,-,6.0,-,-,-,0.1,-,-,-
4,-,-,-,-,7.1,-,-,36.8,-,-,-,-
5,-,-,-,-,1.5,-,-,T,-,-,-,-
6,-,-,-,-,-,-,-,T,-,-,-,T
7,-,-,1.0,-,6.8,-,-,-,-,-,3.5,-
8,-,-,-,-,0.3,-,-,-,-,-,13.2,-
9,-,-,-,-,-,-,-,1.2,-,-,24.6,T
10,-,-,T,-,-,1.0,40.4,-,-,0.4,13.1,-
11,T,-,-,-,-,1.3,27.5,-,-,0.8,T,-
12,2.7,-,T,-,3.0,4.8,5.4,-,-,-,1.2,-
13,-,7.5,-,-,17.5,-,1.2,-,-,0.3,-,-
14,T,-,-,-,1.5,-,10.9,-,-,-,-,-
15,-,3.6,-,-,0.4,-,1.8,-,-,-,-,-
16,-,4.6,-,T,21.6,-,24.2,-,-,-,-,-
17,-,T,-,7.4,1.4,-,7.5,-,-,-,2.5,-
18,-,-,1.0,0.2,-,-,3.4,-,-,-,105.1,-
19,-,3.4,10.0,-,-,-,-,-,-,-,4.7,-
20,0.2,T,4.0,-,-,-,0.1,-,-,-,-,-
21,0.2,-,-,-,-,-,-,-,-,-,-,-
22,-,-,-,1.4,1.8,T,-,-,-,-,-,-
23,-,-,-,0.2,11.5,-,-,-,-,-,-,-
24,-,-,-,-,1.7,11.6,-,0.5,-,-,-,-
25,-,-,-,-,-,17.5,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,T,-,-,-,-,-,-,-,-,-
28,-,-,-,-,-,52.0,-,-,-,-,-,-
29,-,,-,8.5,-,10.3,-,23.0,-,-,-,-
30,-,,-,4.0,-,-,-,55.6,-,-,-,1.0
31,-,,-,,-,,-,68.3,,-,,-
總和值,3.1,19.1,16.0,21.7,90.6,114.7,122.4,185.4,36.9,1.5,167.9,1.0
1,-,-,T,-,2.1,-,-,-,1.2,-,0.5,1.8
2,-,1.0,-,-,1.0,-,-,3.2,0.3,-,-,-
3,-,0.3,-,-,0.8,-,-,0.3,-,-,-,-
4,T,-,0.1,-,6.1,-,-,T,-,-,-,2.5
5,1.5,-,0.1,3.0,3.0,-,T,-,-,-,-,11.0
6,10.0,4.4,-,1.2,-,-,1.8,-,-,-,-,T
7,-,1.7,0.1,4.0,-,-,-,-,-,-,-,-
8,-,-,2.6,T,-,-,-,-,-,-,-,2.7
9,-,T,0.4,5.4,-,-,-,-,11.2,-,-,-
10,-,-,2.6,2.8,6.0,8.7,-,-,45.6,-,2.1,-
11,-,-,2.1,-,-,0.2,-,0.9,-,-,2.4,-
12,0.1,-,1.2,-,-,3.8,-,-,-,-,-,-
13,1.6,-,4.2,-,-,-,-,-,0.2,-,-,-
14,1.8,2.7,5.6,-,0.9,1.3,-,-,-,-,-,-
15,12.6,6.0,-,-,24.2,-,-,-,-,-,-,-
16,3.8,-,1.1,5.7,21.6,32.7,-,4.2,-,-,-,-
17,-,-,-,4.1,5.8,5.1,2.4,0.7,-,-,6.4,-
18,-,-,-,1.0,0.1,-,-,-,-,-,0.1,3.2
19,-,-,-,-,12.4,3.6,-,-,0.5,-,-,-
20,-,-,-,17.5,T,48.4,-,-,-,-,-,-
21,1.2,-,-,-,-,0.2,-,-,-,-,3.5,-
22,11.3,10.1,-,-,-,10.7,13.9,-,-,-,0.3,-
23,0.8,1.6,T,1.0,-,-,4.3,-,T,-,0.5,-
24,15.4,-,1.7,0.9,-,-,9.1,-,-,-,-,-
25,0.5,8.4,-,9.2,-,0.2,0.1,22.3,-,-,-,-
26,-,1.5,-,0.3,T,-,-,-,-,-,14.7,-
27,-,5.3,-,59.6,30.7,-,-,-,-,-,0.1,4.3
28,-,36.2,-,-,9.8,-,-,T,-,-,45.2,0.2
29,-,36.2,2.3,-,22.6,-,1.3,-,7.1,-,-,18.1
30,-,,-,2.4,-,2.3,-,-,-,3.5,31.4,6.8
31,-,,0.3,,1.6,,-,-,,4.0,,-
總和值,60.6,81.5,22.1,140.7,126.1,118.5,31.6,38.7,59.0,7.5,125.3,81.6
1,-,-,0.1,3.2,0.8,-,-,-,0.4,-,-,-
2,-,-,0.8,14.1,-,-,-,24.7,1.9,-,-,-
3,-,2.8,-,9.3,-,3.2,-,-,-,-,12.2,-
4,-,0.1,-,49.2,-,6.2,-,-,-,-,-,-
5,-,10.3,-,30.6,3.1,4.5,-,-,-,-,T,-
6,-,-,-,-,T,-,T,-,-,-,-,-
7,-,-,-,-,-,-,0.3,-,-,-,-,-
8,-,-,-,-,T,-,-,-,-,-,-,-
9,-,-,-,22.3,0.5,-,-,-,-,3.9,-,0.1
10,-,-,-,3.5,0.2,-,-,-,-,-,0.1,-
11,-,-,-,3.7,2.9,5.2,-,-,-,-,-,-
12,-,-,-,0.8,1.9,71.0,-,-,-,-,0.7,-
13,-,-,-,-,-,1.7,118.4,-,3.0,-,0.4,-
14,-,-,-,2.6,-,2.5,23.2,25.6,6.0,-,-,3.1
15,-,-,2.3,-,26.2,3.0,6.1,3.5,-,-,-,21.8
16,-,-,-,-,91.7,-,0.6,0.5,-,-,-,13.1
17,-,T,-,T,-,-,-,-,-,-,-,16.8
18,-,-,-,0.1,-,-,22.8,-,-,-,-,0.4
19,-,-,-,3.4,13.6,-,180.9,-,-,-,-,-
20,-,-,0.5,4.6,4.9,-,0.4,0.5,-,-,-,-
21,-,-,T,-,20.5,-,-,14.1,-,-,-,-
22,-,-,-,-,103.0,15.6,-,7.3,16.4,-,-,-
23,-,-,-,-,-,0.1,-,29.1,0.2,-,-,-
24,-,-,1.0,-,-,13.1,-,16.1,-,-,34.5,-
25,-,-,-,28.2,-,20.1,0.1,-,-,-,-,-
26,T,4.4,24.5,0.8,-,5.2,2.8,-,-,-,-,-
27,-,T,-,2.8,27.9,-,-,-,-,-,-,-
28,-,-,32.4,4.4,-,-,-,-,-,-,-,-
29,-,,0.4,-,-,-,-,14.4,-,-,-,-
30,-,,10.8,4.8,-,-,-,9.2,-,-,-,-
31,-,,0.9,,-,,-,36.9,,-,,-
總和值,T,17.6,73.7,188.4,297.2,151.4,355.6,181.9,27.9,3.9,47.9,55.3
1,-,-,-,-,7.6,-,-,-,-,-,-,0.4
2,-,-,T,6.4,-,-,-,-,-,-,-,T
3,-,-,-,T,-,20.9,-,-,-,-,-,2.4
4,-,1.8,-,-,4.7,-,-,-,-,-,-,15.7
5,-,13.8,0.2,-,4.7,14.9,-,-,-,-,-,-
6,-,13.1,0.2,0.5,0.6,26.8,-,-,-,-,-,-
7,-,0.2,0.5,18.9,13.5,5.4,-,-,-,-,-,-
8,-,14.7,0.6,1.5,0.2,1.4,-,-,-,-,-,-
9,-,18.5,-,-,12.4,-,-,-,-,-,-,-
10,-,2.5,T,-,T,-,-,-,-,-,-,-
11,-,0.1,11.5,-,42.9,-,-,-,-,-,T,-
12,-,T,10.8,-,5.0,-,1.0,0.5,-,-,0.2,-
13,-,0.7,0.5,T,2.1,-,-,109.5,-,-,-,-
14,-,-,T,-,2.3,0.2,-,0.8,-,-,-,-
15,-,-,-,-,4.5,6.6,-,-,-,-,-,-
16,-,1.5,3.8,-,-,67.2,-,-,-,-,-,-
17,-,0.2,-,-,0.6,0.5,-,-,-,-,-,-
18,-,3.9,-,-,16.2,-,-,1.5,-,-,-,-
19,-,4.4,-,-,0.1,-,-,2.8,-,-,-,3.5
20,-,-,-,-,1.8,-,-,T,-,-,-,-
21,-,-,-,-,35.7,-,-,-,-,-,-,-
22,-,-,-,-,7.4,-,-,-,0.2,0.4,-,-
23,-,-,-,-,87.1,-,57.2,-,-,-,-,-
24,-,-,-,4.8,10.6,1.2,46.2,-,-,-,-,-
25,-,-,-,-,-,0.5,-,-,-,-,-,3.2
26,-,8.9,-,13.0,1.0,1.8,-,-,-,-,-,0.6
27,-,-,-,-,-,-,-,-,-,-,1.8,10.5
28,-,-,0.2,-,15.2,-,-,-,-,-,3.3,T
29,-,,0.2,-,-,1.1,-,-,-,-,0.2,-
30,-,,10.6,7.9,-,-,-,-,1.4,-,1.2,-
31,-,,13.1,,24.6,,2.5,-,,-,,-
總和值,-,84.3,52.2,53.0,300.8,148.5,106.9,115.1,1.6,0.4,6.7,36.3
1,-,-,-,-,T,-,-,-,29.2,3.5,-,-
2,-,-,-,-,0.4,-,-,-,3.5,-,-,-
3,-,-,-,-,0.1,-,-,-,-,-,-,-
4,-,-,0.5,-,5.0,0.3,-,-,-,-,-,0.2
5,0.4,-,1.6,-,6.9,1.8,-,-,-,-,-,6.1
6,-,-,0.3,-,1.5,-,-,-,13.1,-,-,14.2
7,-,-,-,4.3,T,-,-,-,0.8,-,-,-
8,-,-,-,2.1,0.3,-,0.8,7.3,-,4.4,-,T
9,-,-,-,2.7,7.8,-,0.4,3.6,-,-,-,132.5
10,-,-,0.7,9.6,-,-,-,13.2,-,-,-,19.6
11,T,-,3.6,12.3,-,5.3,-,0.2,-,-,-,-
12,0.1,-,3.6,-,-,-,-,-,-,-,-,-
13,26.5,-,2.4,-,-,-,-,-,-,-,-,-
14,T,-,0.7,-,-,-,-,0.3,-,-,-,-
15,-,47.4,-,-,-,-,-,0.7,-,-,-,-
16,-,1.2,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,3.3,-,-,-,-
18,-,-,-,T,2.0,-,-,3.2,-,-,-,-
19,-,-,-,-,1.5,-,7.7,2.5,-,-,-,-
20,-,-,-,16.2,23.6,-,51.0,-,3.6,-,-,0.1
21,-,3.7,-,5.9,3.2,-,7.8,-,4.1,-,-,T
22,-,-,-,-,0.2,11.2,0.5,-,-,-,-,-
23,-,1.5,1.0,-,14.9,-,50.7,2.7,-,-,-,-
24,-,1.4,-,-,14.3,3.3,10.3,11.3,-,-,-,T
25,5.5,-,0.9,-,4.5,0.7,8.9,-,-,-,-,6.9
26,-,-,5.4,-,1.7,1.6,-,-,18.8,-,-,-
27,-,-,7.4,-,0.6,-,-,26.7,-,-,-,5.0
28,-,-,-,19.3,0.5,-,-,44.3,-,-,-,-
29,-,,-,0.5,-,-,-,27.3,91.4,-,-,-
