Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,4.0,-,-,20.5,-,T,2.0,-,4.5,-,-,11.0
2,25.5,-,-,-,-,T,-,0.5,T,-,-,-
3,-,-,-,-,-,47.0,T,81.5,43.5,-,-,0.5
4,-,-,-,-,-,1.5,16.0,328.0,47.5,-,-,19.5
5,-,-,-,4.5,-,60.5,2.5,156.0,12.5,0.5,-,3.0
6,-,0.5,-,-,-,2.0,-,2.5,22.5,3.5,-,1.0
7,-,-,-,6.0,78.0,15.0,-,-,82.0,14.0,T,0.5
8,-,-,-,-,26.0,9.0,9.5,22.0,43.0,23.0,-,-
9,-,-,-,-,T,17.5,10.0,1.5,21.5,4.0,-,-
10,1.0,-,-,-,T,0.5,14.0,61.5,109.0,1.0,-,-
11,0.5,-,-,-,0.5,27.0,24.0,0.5,19.0,2.0,-,-
12,-,-,-,-,T,3.0,7.0,T,T,T,-,-
13,-,-,-,-,T,20.0,-,7.5,T,T,-,-
14,-,19.5,-,-,21.5,28.5,-,11.5,-,0.5,-,-
15,-,-,-,-,2.5,10.5,0.5,3.5,7.0,3.5,-,-
16,-,-,-,-,5.5,11.5,10.0,18.0,0.5,1.0,1.5,-
17,-,-,-,-,-,2.5,24.5,12.0,0.5,1.0,-,T
18,-,-,-,-,17.5,1.0,13.5,7.0,23.5,-,-,-
19,-,-,-,21.0,117.5,-,71.0,13.0,7.5,-,-,1.5
20,-,-,-,59.0,9.0,0.5,63.5,1.0,11.5,-,-,45.5
21,-,-,-,0.5,1.0,-,2.0,16.0,3.0,1.5,-,4.0
22,-,-,-,T,5.0,-,4.5,1.5,14.5,0.5,-,0.5
23,T,-,-,T,35.0,-,5.0,3.5,15.0,8.5,-,0.5
24,-,-,-,-,12.0,3.5,-,71.0,-,2.5,-,1.5
25,-,-,1.0,23.5,7.0,1.5,T,3.0,0.5,-,-,-
26,-,-,33.5,T,-,9.0,10.5,45.5,0.5,-,-,-
27,-,-,2.5,-,0.5,3.0,18.5,21.0,-,1.0,-,T
28,-,-,3.5,-,-,1.0,28.0,3.0,65.5,4.0,-,42.0
29,-,,T,-,-,12.5,2.5,2.0,-,-,T,-
30,-,,-,-,T,6.0,25.5,T,-,-,0.5,2.5
31,-,,-,,35.0,,40.5,1.5,,-,,-
總和值,31.0,20.0,40.5,135.0,373.5,294.0,405.0,895.5,554.5,72.0,2.0,133.5
1,-,-,-,-,-,-,-,14.0,41.5,-,-,-
2,4.0,-,-,1.0,-,2.5,-,4.0,0.5,33.5,-,-
3,22.0,-,-,-,-,13.5,-,-,-,5.2,-,-
4,-,-,-,-,-,3.3,-,32.5,69.5,-,31.1,-
5,-,-,-,-,-,16.3,-,13.0,0.5,-,16.3,-
6,2.1,-,-,13.5,-,1.0,-,1.6,5.9,32.0,-,-
7,0.5,-,-,2.5,-,-,-,-,1.5,6.5,-,0.5
8,21.5,-,-,21.0,2.4,-,-,0.2,9.5,3.0,1.5,-
9,-,-,15.3,0.5,0.4,T,-,-,18.0,3.0,-,-
10,-,-,-,-,4.0,76.0,-,-,3.5,1.3,-,-
