Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.5,-,5.5,4.5,-,-,-,-,2.0,2.5,22.0,-
2,0.5,-,8.5,0.5,-,3.5,11.0,-,16.0,9.0,0.5,-
3,0.5,6.0,4.0,0.5,3.5,-,4.0,6.0,34.0,19.5,9.0,5.0
4,20.5,25.5,-,-,4.5,121.0,-,-,5.0,143.0,3.0,-
5,46.0,54.0,19.0,5.5,-,4.0,-,6.5,-,194.0,-,-
6,49.0,14.0,34.0,0.5,-,-,-,144.0,-,83.0,-,-
7,54.0,11.0,47.0,15.0,-,-,-,216.5,-,7.5,-,-
8,36.0,8.0,7.5,0.5,-,-,-,29.5,2.0,1.0,-,-
9,9.5,0.5,37.0,-,-,-,-,61.5,13.0,10.5,-,-
10,-,0.5,-,1.0,-,-,-,7.0,6.0,38.5,4.5,-
11,-,-,2.5,-,-,32.0,-,-,-,56.0,8.5,1.5
12,-,-,-,-,-,-,-,89.5,-,15.0,14.5,10.5
13,-,-,11.5,7.1,-,28.0,2.0,8.0,90.0,14.5,71.0,-
14,-,-,11.0,13.5,-,2.5,T,-,-,36.0,7.0,20.0
15,-,-,-,-,-,2.5,-,T,1.0,10.0,10.5,10.0
16,-,9.5,-,3.0,-,24.5,-,0.5,-,0.5,14.5,55.5
17,-,28.5,-,16.0,-,-,0.5,-,-,-,73.0,27.0
18,-,4.0,-,0.5,4.5,-,0.5,-,-,-,55.0,13.5
19,1.0,1.0,-,0.5,0.5,2.0,T,-,1.5,-,34.0,7.5
20,6.9,20.0,-,30.0,-,0.5,T,-,-,0.5,22.5,1.5
21,-,-,-,T,-,0.5,-,-,-,-,30.0,-
22,T,-,0.5,29.0,-,0.5,-,-,-,57.0,19.5,-
23,24.0,1.0,7.0,-,-,-,-,2.0,3.5,80.0,44.0,-
24,1.5,-,27.0,-,0.5,0.5,-,-,1.5,46.5,6.5,-
25,2.0,-,-,12.5,-,0.5,2.5,-,1.5,2.0,14.0,6.0
26,18.5,T,-,7.0,9.0,0.5,14.0,-,5.5,-,3.0,4.5
27,18.5,-,4.5,-,4.5,3.0,-,-,10.5,-,2.0,22.0
28,8.5,5.5,5.0,-,-,-,T,-,226.5,-,22.5,12.5
29,0.5,,21.5,-,-,-,-,-,95.0,0.5,2.5,2.0
30,15.0,,4.0,-,-,-,-,29.5,6.5,9.0,4.0,11.0
31,0.5,,-,,-,,-,1.0,,T,,0.5
總和值,313.4,189.0,257.0,147.1,27.0,226.0,34.5,601.5,521.0,836.0,497.5,210.5
1,0.5,-,-,-,-,-,-,-,T,162.0,-,1.5
2,12.0,1.0,4.5,9.0,-,16.5,-,-,-,-,7.5,-
3,8.0,5.0,-,17.5,-,50.5,-,-,-,11.0,18.0,-
4,-,2.0,-,2.0,-,15.0,-,-,T,0.5,29.0,-
5,10.5,2.0,-,0.5,0.5,37.5,-,3.5,15.0,T,23.5,-
6,30.0,6.0,-,26.5,12.5,8.0,-,2.5,-,-,32.5,-
7,46.0,6.5,-,7.5,31.0,-,-,33.0,3.0,T,28.0,-
8,32.5,-,5.0,53.5,0.5,-,-,31.0,-,13.5,-,-
9,3.5,-,46.5,9.0,5.0,0.5,-,23.5,1.5,3.5,-,-
10,5.5,-,T,-,13.5,80.5,-,-,3.0,5.5,-,-
11,21.0,-,-,-,0.5,32.5,-,-,8.5,-,-,-
12,23.5,7.0,-,-,-,29.5,0.6,2.0,-,-,-,-
13,-,19.5,23.5,11.5,-,138.5,-,-,-,-,10.0,-
14,-,1.5,-,3.5,3.5,33.5,-,-,-,15.5,7.5,16.0
15,-,20.5,0.5,17.5,1.0,8.5,-,-,-,16.0,42.0,69.0
16,17.0,47.0,3.5,2.5,1.0,0.5,-,1.5,-,30.0,19.5,75.0
17,6.5,58.5,1.0,-,0.5,8.5,-,-,-,18.0,15.0,0.5
18,T,45.5,-,16.5,-,-,-,-,27.5,65.0,12.0,-
19,-,51.0,-,-,-,-,-,-,77.5,66.0,17.5,-
20,-,1.5,-,-,14.0,-,-,1.5,21.5,188.5,9.5,-
21,6.0,-,-,-,-,1.0,-,8.0,-,343.0,1.0,-
22,22.5,1.0,-,-,-,40.0,-,-,-,108.5,17.0,-
23,23.0,-,-,20.5,53.5,12.5,-,-,57.5,T,7.0,-
24,11.5,-,-,4.5,-,2.5,8.0,-,73.5,T,0.5,28.0
25,33.0,-,16.5,0.5,-,12.0,-,-,-,125.0,93.5,48.0
26,3.5,-,-,10.0,-,49.5,1.5,-,-,108.5,-,23.5
27,-,T,-,8.0,17.0,7.0,0.5,-,0.5,96.5,-,-
28,2.5,-,0.5,5.0,0.5,-,4.5,-,12.0,99.5,-,-
29,2.5,,1.0,-,72.0,-,-,7.5,13.5,4.0,-,-
30,-,,-,2.0,8.5,-,9.5,245.0,207.5,12.5,7.0,-
31,-,,-,,-,,-,112.0,,T,,-
總和值,321.0,275.5,102.5,227.5,235.0,584.5,24.6,471.0,522.0,1492.5,397.5,261.5
1,-,1.0,1.0,-,0.5,4.5,-,-,T,120.5,61.5,58.5
2,T,8.5,5.0,-,1.5,15.5,-,-,1.0,196.0,2.5,14.0
3,15.0,1.0,3.5,1.0,3.0,-,-,-,-,280.5,8.5,-
4,4.5,-,1.0,10.5,7.0,-,-,-,-,59.5,0.5,-
5,3.0,-,T,1.5,1.0,-,-,12.0,-,5.0,-,43.5
6,12.5,-,T,-,-,-,-,0.5,-,3.0,96.5,31.0
7,13.5,-,21.5,-,-,-,-,1.0,-,7.0,109.5,2.0
8,9.5,-,-,-,-,-,-,28.5,-,18.0,38.5,37.0
9,10.5,6.5,T,-,-,0.5,1.5,-,T,11.5,61.0,63.0
