Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,-,-,-,-,-,-,12.0,-,-,-,-,-
2,-,-,2.0,-,-,1.6,46.7,-,-,-,-,-
3,-,-,2.1,0.2,1.8,46.8,65.0,3.2,0.5,-,0.3,-
4,-,-,1.4,-,-,33.4,0.2,-,0.4,-,-,-
5,-,-,10.5,15.0,-,-,-,-,-,5.5,-,-
6,-,-,10.7,0.5,-,-,-,8.4,-,-,-,-
7,-,-,8.6,0.1,-,-,-,4.7,-,-,-,-
8,-,-,24.0,-,-,-,-,88.4,-,-,-,5.6
9,-,-,1.0,-,-,-,T,83.6,-,-,1.1,1.7
10,-,-,0.5,-,-,-,-,8.8,-,1.1,10.0,10.8
11,-,-,4.1,-,-,31.9,-,1.8,-,7.5,13.7,-
12,-,-,-,3.1,-,14.3,-,12.3,-,T,27.0,-
13,-,-,14.2,11.1,-,4.3,-,T,4.1,-,9.5,-
14,-,-,2.5,2.2,-,11.5,-,-,0.5,0.3,-,-
15,-,0.1,-,-,-,12.8,-,4.4,-,-,1.0,8.6
16,-,0.7,-,0.1,-,0.7,-,-,64.0,-,11.5,-
17,-,-,-,8.7,0.3,-,0.1,-,-,-,8.5,4.6
18,-,-,-,-,10.0,-,-,-,23.0,-,-,-
19,-,4.6,-,14.1,3.0,0.4,-,-,2.0,-,0.5,-
20,-,-,-,19.7,0.2,-,-,-,0.2,-,T,-
21,-,-,0.5,-,-,-,-,-,-,-,-,-
22,3.2,-,-,0.1,-,60.3,-,-,0.3,-,-,-
23,-,-,3.0,0.2,-,3.4,-,-,1.0,-,-,-
24,-,-,1.5,0.6,0.5,17.8,-,-,2.0,-,-,-
25,-,0.2,-,9.1,0.1,1.9,19.0,-,2.0,-,-,-
26,11.0,T,-,2.5,34.4,-,0.5,-,-,-,-,-
27,11.7,0.2,1.2,-,0.3,-,-,-,0.4,-,-,6.6
28,-,0.6,9.7,-,0.2,0.2,-,-,10.9,-,-,-
29,0.1,,1.5,-,-,-,-,-,27.7,-,-,3.7
30,4.0,,-,-,-,-,-,4.5,2.1,-,-,-
31,-,,-,,-,,-,12.0,,-,,-
總和值,30.0,6.4,99.0,87.3,50.8,241.3,143.5,232.1,141.1,14.4,83.1,41.6
1,0.7,-,1.9,-,-,-,-,-,2.0,T,-,-
2,9.9,0.5,6.5,6.1,-,0.7,-,-,1.0,-,-,-
3,-,2.9,0.5,11.5,-,0.6,-,-,0.6,3.2,-,-
4,-,3.5,1.5,24.8,-,-,-,-,2.5,-,-,-
5,-,1.0,0.1,-,-,-,-,-,-,-,2.6,-
6,6.5,4.1,46.3,68.1,3.2,-,-,4.9,-,-,8.1,-
7,-,2.5,16.0,-,10.4,-,-,0.3,-,0.1,T,-
8,0.1,-,54.7,27.5,-,-,-,-,1.8,-,-,-
9,-,0.5,8.5,0.2,6.0,4.8,-,-,1.8,-,-,-
